Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1979,Yomiuri Giants,P,niura-000his,Hisao Niura,45,NA,NA,NA,NA,NA,NA,NA
1979,Yomiuri Giants,P,sumi--000mit,Mitsuo Sumi,45,NA,NA,NA,NA,NA,NA,NA
1979,Yomiuri Giants,P,nishim000tak,Takashi Nishimoto,44,NA,NA,NA,NA,NA,NA,NA
1979,Yomiuri Giants,P,katori000yos,Yoshitaka Katori,38,NA,NA,NA,NA,NA,NA,NA
1979,Yomiuri Giants,P,kato--000haj,Hajime Kato,36,NA,NA,NA,NA,NA,NA,NA
1979,Yomiuri Giants,P,egawa-000sug,Suguru Egawa,27,NA,NA,NA,NA,NA,NA,NA
1979,Yomiuri Giants,P,fujish000kaz,Kazuaki Fujishiro,27,NA,NA,NA,NA,NA,NA,NA
1979,Yomiuri Giants,P,horiuc000tsu,Tsuneo Horiuchi,24,NA,NA,NA,NA,NA,NA,NA
1979,Yomiuri Giants,P,asano-000kei,Keishi Asano,21,NA,NA,NA,NA,NA,NA,NA
1979,Yomiuri Giants,P,omata-000sus,Susumu Omata,21,NA,NA,NA,NA,NA,NA,NA
1979,Yomiuri Giants,P,kreuge001ric,Rick Kreuger,18,NA,NA,NA,NA,NA,NA,NA
1979,Yomiuri Giants,P,ishii-000shi,Shigeo Ishii,15,NA,NA,NA,NA,NA,NA,NA
1979,Yomiuri Giants,P,sadaok000sho,Shoji Sadaoka,7,NA,NA,NA,NA,NA,NA,NA
1979,Yomiuri Giants,P,akamin000ken,Kenyu Akamine,1,NA,NA,NA,NA,NA,NA,NA
