Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1980,Chunichi Dragons,P,mizuta000hir,Hiroaki Mizutani,56,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,kanai-000mas,Masayoshi Kanai,39,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,komats000tat,Tatsuo Komatsu,39,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,misawa000jun,Jun Misawa,37,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,suzuki004tak,Takamasa Suzuki,35,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,donoue000ter,Terashi Donoue,33,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,hoshin000sen,Senichi Hoshino,29,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,toda--000yos,Yoshinori Toda,29,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,tsuchi000mas,Masakatsu Tsuchiya,28,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,fujisa000kim,Kimiya Fujisawa,27,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,aoyama000his,Hisato Aoyama,20,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,miyako000yuj,Yujiro Miyako,19,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,ushiji000kaz,Kazuhiko Ushijima,9,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,saegus000nor,Norietsu Saegusa,8,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,takaha000mic,Michitake Takahashi,8,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,sato--001mas,Masao Sato,7,NA,NA,NA,NA,NA,NA,NA
1980,Chunichi Dragons,P,nakata000mun,Muneo Nakada,3,NA,NA,NA,NA,NA,NA,NA
