Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1981,Osaka Kintetsu Buffaloes,OF,hirano000mit,Mitsuyasu Hirano,121,NA,NA,NA,NA,NA,NA,NA
1981,Osaka Kintetsu Buffaloes,OF,shimam000koh,Kohei Shimamoto,92,NA,NA,NA,NA,NA,NA,NA
1981,Osaka Kintetsu Buffaloes,OF,fujise000shi,Shiro Fujise,72,NA,NA,NA,NA,NA,NA,NA
1981,Osaka Kintetsu Buffaloes,OF,sasaki000kyo,Kyosuke Sasaki,70,NA,NA,NA,NA,NA,NA,NA
1981,Osaka Kintetsu Buffaloes,OF,kuriha000shi,Shigeru Kurihashi,67,NA,NA,NA,NA,NA,NA,NA
1981,Osaka Kintetsu Buffaloes,OF,haku--000jin,In-cheon Paek,42,NA,NA,NA,NA,NA,NA,NA
1981,Osaka Kintetsu Buffaloes,OF,ryan--001cra,Craig Ryan,20,NA,NA,NA,NA,NA,NA,NA
1981,Osaka Kintetsu Buffaloes,OF,hampto001isa,Ike Hampton,19,NA,NA,NA,NA,NA,NA,NA
1981,Osaka Kintetsu Buffaloes,OF,kanemi000yas,Yasuaki Kanemitsu,18,NA,NA,NA,NA,NA,NA,NA
1981,Osaka Kintetsu Buffaloes,OF,abe---000nar,Narihiro Abe,16,NA,NA,NA,NA,NA,NA,NA
1981,Osaka Kintetsu Buffaloes,OF,yamamo002kaz,Kazunori Yamamoto,8,NA,NA,NA,NA,NA,NA,NA
