Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1985,Yokohama Taiyo Whales,OF,kato--000hir,Hirokazu Kato,127,NA,NA,NA,NA,NA,NA,NA
1985,Yokohama Taiyo Whales,OF,yashik000kan,Kaname Yashiki,116,NA,NA,NA,NA,NA,NA,NA
1985,Yokohama Taiyo Whales,OF,white-002jer,Jerry White,86,NA,NA,NA,NA,NA,NA,NA
1985,Yokohama Taiyo Whales,OF,ishiba000mit,Mitsugu Ishibashi,66,NA,NA,NA,NA,NA,NA,NA
1985,Yokohama Taiyo Whales,OF,kawano000yas,Yasuhiko Kawano,64,NA,NA,NA,NA,NA,NA,NA
1985,Yokohama Taiyo Whales,OF,takagi000yos,Yoshikazu Takagi,33,NA,NA,NA,NA,NA,NA,NA
1985,Yokohama Taiyo Whales,OF,yamaza000ken,Kenichi Yamazaki,25,NA,NA,NA,NA,NA,NA,NA
1985,Yokohama Taiyo Whales,OF,yoshim000hir,Hiroshi Yoshimoto,16,NA,NA,NA,NA,NA,NA,NA
1985,Yokohama Taiyo Whales,OF,nishim000hir,Hiromi Nishimura,6,NA,NA,NA,NA,NA,NA,NA
1985,Yokohama Taiyo Whales,OF,kikuch000kyo,Kyoichi Kikuchi,4,NA,NA,NA,NA,NA,NA,NA
