Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1986,Hankyu Braves,OF,fukumo000yut,Yutaka Fukumoto,124,NA,NA,NA,NA,NA,NA,NA
1986,Hankyu Braves,OF,kumano000ter,Terumitsu Kumano,105,NA,NA,NA,NA,NA,NA,NA
1986,Hankyu Braves,OF,yamamo003mas,Masafumi Yamamori,99,NA,NA,NA,NA,NA,NA,NA
1986,Hankyu Braves,OF,shibah000min,Minoru Shibahara,69,NA,NA,NA,NA,NA,NA,NA
1986,Hankyu Braves,OF,minoda000koj,Koji Minoda,67,NA,NA,NA,NA,NA,NA,NA
1986,Hankyu Braves,OF,minami000toy,Toyozo Minamimure,62,NA,NA,NA,NA,NA,NA,NA
1986,Hankyu Braves,OF,kobaya002shi,Shinya Kobayashi,57,NA,NA,NA,NA,NA,NA,NA
1986,Hankyu Braves,OF,iizuka000tom,Tomiji Iizuka,24,NA,NA,NA,NA,NA,NA,NA
1986,Hankyu Braves,OF,ishimi000kaz,Kazuhiko Ishimine,14,NA,NA,NA,NA,NA,NA,NA
1986,Hankyu Braves,OF,muraka000shi,Shinichi Murakami,11,NA,NA,NA,NA,NA,NA,NA
1986,Hankyu Braves,OF,wells-001gre,Greg Wells,2,NA,NA,NA,NA,NA,NA,NA
1986,Hankyu Braves,OF,iwamot000yos,Yoshihiro Iwamoto,1,NA,NA,NA,NA,NA,NA,NA
