Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1986,Yakult Swallows,OF,brouha001mar,Mark Brouhard,129,NA,NA,NA,NA,NA,NA,NA
1986,Yakult Swallows,OF,wakama000tsu,Tsutomu Wakamatsu,103,NA,NA,NA,NA,NA,NA,NA
1986,Yakult Swallows,OF,kuriya000hid,Hideki Kuriyama,85,NA,NA,NA,NA,NA,NA,NA
1986,Yakult Swallows,OF,ogawa-000jun,Junji Ogawa,80,NA,NA,NA,NA,NA,NA,NA
1986,Yakult Swallows,OF,takani000hid,Hideharu Takani,67,NA,NA,NA,NA,NA,NA,NA
1986,Yakult Swallows,OF,sugiur000tor,Toru Sugiura,36,NA,NA,NA,NA,NA,NA,NA
1986,Yakult Swallows,OF,iwashi000mas,Masaaki Iwashita,21,NA,NA,NA,NA,NA,NA,NA
1986,Yakult Swallows,OF,arai--001yuk,Yukio Arai,5,NA,NA,NA,NA,NA,NA,NA
1986,Yakult Swallows,OF,genoka000mas,Masamichi Genoka,1,NA,NA,NA,NA,NA,NA,NA
1986,Yakult Swallows,OF,hata--000shi,Shinji Hata,1,NA,NA,NA,NA,NA,NA,NA
1986,Yakult Swallows,OF,watana000sus,Susumu Watanabe,1,NA,NA,NA,NA,NA,NA,NA
