Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1990,Orix Braves,OF,fujii-001yas,Yasuo Fujii,125,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,OF,ishimi000kaz,Kazuhiko Ishimine,123,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,OF,motoni001ats,Atsuhiro Motonishi,89,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,OF,kumano000ter,Terumitsu Kumano,81,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,OF,yamamo003mas,Masafumi Yamamori,81,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,OF,shibah000min,Minoru Shibahara,23,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,OF,takaha001sat,Satoshi Takahashi,17,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,OF,minami000toy,Toyozo Minamimure,13,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,OF,muraka000shi,Shinichi Murakami,5,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,OF,kadota000hir,Hiromitsu Kadota,3,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,OF,sato--000kaz,Kazuhiro Sato,2,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,OF,yamago000yos,Yoshihiro Yamakoshi,1,NA,NA,NA,NA,NA,NA,NA
