Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1990,Orix Braves,P,itoh--002tak,Takahide Ito,48,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,takagi001koj,Koji Takagi,42,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,itoh--001ats,Atsunori Ito,31,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,sakai-000tsu,Tsutomu Sakai,31,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,hoshin001nob,Nobuyuki Hoshino,27,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,yamaok000yuk,Yukihiko Yamaoki,25,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,hoffma002guy,Guy Hoffman,24,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,imai--000yut,Yutaro Imai,22,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,schulz001don,Don Schulze,20,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,sato--003yos,Yoshinori Sato,17,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,furumi000kat,Katsuyuki Furumizo,12,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,sekigu000tom,Tomoyuki Sekiguchi,6,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,kiyoha000yui,Yuichi Kiyohara,5,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,kohama000yui,Yuichi Kohama,4,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,yamauc000yos,Yoshihiro Yamauchi,4,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,mori--001koj,Koji Mori,2,NA,NA,NA,NA,NA,NA,NA
1990,Orix Braves,P,yoshid000nao,Naoki Yoshida,1,NA,NA,NA,NA,NA,NA,NA
