Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1991,Lotte Orions,P,hiranu000sad,Sadaharu Hiranuma,40,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,shirat000yos,Yoshihisa Shiratake,37,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,sonoka000kaz,Kazumi Sonokawa,31,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,maeda-001yuk,Yukinaga Maeda,30,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,ibe---000yas,Yasuji Ibe,29,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,komiya001sat,Satoru Komiyama,29,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,so----000kat,Katsuo So,29,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,irabu-001hid,Hideki Irabu,24,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,konno-000tak,Takahiro Konno,22,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,nagano000yos,Yoshinari Nagano,17,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,kobaya000aki,Akinori Kobayashi,11,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,toyama001sho,Shoji Toyama,10,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,kasaha000eii,Eiichi Kasahara,7,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,mori--000koj,Koji Mori,5,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,enoki-000yas,Yasuhiro Enoki,4,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,yashim000sho,Shoji Yashima,4,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,ai----000eij,Eijiro Ai,2,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,ishida001mas,Masahiko Ishida,1,NA,NA,NA,NA,NA,NA,NA
1991,Lotte Orions,P,ushiji000kaz,Kazuhiko Ushijima,1,NA,NA,NA,NA,NA,NA,NA
