Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1991,Nippon Ham Fighters,OF,tanaka004yuk,Minoru Tanaka,118,NA,NA,NA,NA,NA,NA,NA
1991,Nippon Ham Fighters,OF,shimad000nob,Nobutoshi Shimada,98,NA,NA,NA,NA,NA,NA,NA
1991,Nippon Ham Fighters,OF,winter001mat,Matt Winters,98,NA,NA,NA,NA,NA,NA,NA
1991,Nippon Ham Fighters,OF,kawana000shi,Shinichi Kawana,82,NA,NA,NA,NA,NA,NA,NA
1991,Nippon Ham Fighters,OF,nakaji000ter,Terushi Nakajima,61,NA,NA,NA,NA,NA,NA,NA
1991,Nippon Ham Fighters,OF,suzuki002yos,Yoshihiro Suzuki,53,NA,NA,NA,NA,NA,NA,NA
1991,Nippon Ham Fighters,OF,igaras000shi,Shinichi Igarashi,35,NA,NA,NA,NA,NA,NA,NA
1991,Nippon Ham Fighters,OF,saito-000hir,Hiroyuki Saito,14,NA,NA,NA,NA,NA,NA,NA
1991,Nippon Ham Fighters,OF,bathe-001wil,Bill Bathe,12,NA,NA,NA,NA,NA,NA,NA
1991,Nippon Ham Fighters,OF,dayett001bri,Brian Dayett,11,NA,NA,NA,NA,NA,NA,NA
1991,Nippon Ham Fighters,OF,komaki001yui,Yuichi Komaki,11,NA,NA,NA,NA,NA,NA,NA
1991,Nippon Ham Fighters,OF,sumiyo000yos,Yoshinori Sumiyoshi,3,NA,NA,NA,NA,NA,NA,NA
1991,Nippon Ham Fighters,OF,fujio-000yas,Yasuharu Fujio,2,NA,NA,NA,NA,NA,NA,NA
1991,Nippon Ham Fighters,OF,ogawa-000koi,Koichi Ogawa,1,NA,NA,NA,NA,NA,NA,NA
