Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1992,Nippon Ham Fighters,P,shirai000yas,Yasukatsu Shirai,43,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,nishim000mot,Motofumi Nishimura,29,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,kaneis000aki,Akihito Kaneishi,28,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,kohno-001hir,Hirofumi Kono,28,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,sakai-000mit,Mitsujiro Sakai,26,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,shibat000yas,Yasumitsu Shibata,26,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,takeda001kaz,Kazuhiro Takeda,22,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,nishiz001yuk,Yukihiro Nishizaki,21,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,arikur000mas,Masashi Arikura,17,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,uchiya000mas,Masahiro Uchiyama,16,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,shimaz001tak,Takeshi Shimazaki,14,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,matsur000hir,Hiroaki Matsuura,13,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,shibak001hir,Hiroshi Shibakusa,10,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,ishika004mas,Masaru Ishikawa,8,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,kojima000yos,Yoshihiro Kojima,7,NA,NA,NA,NA,NA,NA,NA
1992,Nippon Ham Fighters,P,minami002ryu,Ryuji Minami,6,NA,NA,NA,NA,NA,NA,NA
