Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1994,Fukuoka Daiei Hawks,OF,akiyam001koj,Koji Akiyama,128,NA,NA,NA,NA,NA,NA,NA
1994,Fukuoka Daiei Hawks,OF,reimer001kev,Kevin Reimer,115,NA,NA,NA,NA,NA,NA,NA
1994,Fukuoka Daiei Hawks,OF,yamaza000ken,Kenichi Yamazaki,78,NA,NA,NA,NA,NA,NA,NA
1994,Fukuoka Daiei Hawks,OF,yamagu001yuj,Yuji Yamaguchi,64,NA,NA,NA,NA,NA,NA,NA
1994,Fukuoka Daiei Hawks,OF,kokubo001hir,Hiroki Kokubo,51,NA,NA,NA,NA,NA,NA,NA
1994,Fukuoka Daiei Hawks,OF,ohmich001nor,Noriyoshi Omichi,49,NA,NA,NA,NA,NA,NA,NA
1994,Fukuoka Daiei Hawks,OF,wakai-000mot,Motoyasu Wakai,29,NA,NA,NA,NA,NA,NA,NA
1994,Fukuoka Daiei Hawks,OF,satoh-001shi,Shinichi Sato,16,NA,NA,NA,NA,NA,NA,NA
1994,Fukuoka Daiei Hawks,OF,murama001ari,Arihito Muramatsu,12,NA,NA,NA,NA,NA,NA,NA
1994,Fukuoka Daiei Hawks,OF,kishik000kat,Katsuya Kishigawa,10,NA,NA,NA,NA,NA,NA,NA
1994,Fukuoka Daiei Hawks,OF,yamamo002kaz,Kazunori Yamamoto,3,NA,NA,NA,NA,NA,NA,NA
