Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1995,Orix Blue Wave,1B,jennin002jam,Doug Jennings,87,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,1B,fujii-001yas,Yasuo Fujii,72,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,1B,takash000tor,Toru Takashima,12,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,1B,takada000mak,Makoto Takada,8,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,1B,okada-001aki,Akinobu Okada,7,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,1B,yojo--001min,Minoru Yojo,6,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,1B,neel--001tro,Troy Neel,4,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,1B,ogawa-001hir,Hirofumi Ogawa,4,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,1B,takaha001sat,Satoshi Takahashi,2,NA,NA,NA,NA,NA,NA,NA
1995,Orix Blue Wave,1B,shibah000min,Minoru Shibahara,1,NA,NA,NA,NA,NA,NA,NA
