Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1997,Seibu Lions,OF,ohtomo001sus,Susumu Otomo,128,NA,NA,NA,NA,NA,NA,NA
1997,Seibu Lions,OF,sasaki001mak,Makoto Sasaki,119,NA,NA,NA,NA,NA,NA,NA
1997,Seibu Lions,OF,shimiz002mas,Masaji Shimizu,87,NA,NA,NA,NA,NA,NA,NA
1997,Seibu Lions,OF,harai-001kaz,Kazuya Harai,66,NA,NA,NA,NA,NA,NA,NA
1997,Seibu Lions,OF,ohtsuk001koj,Koji Otsuka,65,NA,NA,NA,NA,NA,NA,NA
1997,Seibu Lions,OF,kawada001yus,Yusuke Kawada,54,NA,NA,NA,NA,NA,NA,NA
1997,Seibu Lions,OF,kakiuc001tet,Tetsuya Kakiuchi,45,NA,NA,NA,NA,NA,NA,NA
1997,Seibu Lions,OF,pember001rud,Rudy Pemberton,17,NA,NA,NA,NA,NA,NA,NA
1997,Seibu Lions,OF,tomash001sei,Seiji Tomashino,8,NA,NA,NA,NA,NA,NA,NA
1997,Seibu Lions,OF,miyaji001kat,Katsuhiko Miyaji,5,NA,NA,NA,NA,NA,NA,NA
1997,Seibu Lions,OF,takagi001tai,Taisei Takagi,4,NA,NA,NA,NA,NA,NA,NA
1997,Seibu Lions,OF,yamada002jun,Jun Yamada,2,NA,NA,NA,NA,NA,NA,NA
1997,Seibu Lions,OF,ando--000shi,Shinji Ando,1,NA,NA,NA,NA,NA,NA,NA
1997,Seibu Lions,OF,ozeki-001tat,Tatsuya Ozeki,1,NA,NA,NA,NA,NA,NA,NA
