Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1999,Chiba Lotte Marines,OF,morozu001ken,Kenji Morozumi,120,NA,NA,NA,NA,NA,NA,NA
1999,Chiba Lotte Marines,OF,ohtsuk001aki,Akira Otsuka,103,NA,NA,NA,NA,NA,NA,NA
1999,Chiba Lotte Marines,OF,ohmura001sab,Saburo Omura,98,NA,NA,NA,NA,NA,NA,NA
1999,Chiba Lotte Marines,OF,hirai-001mit,Mitsuchika Hirai,94,NA,NA,NA,NA,NA,NA,NA
1999,Chiba Lotte Marines,OF,ohmura001iwa,Iwao Omura,60,NA,NA,NA,NA,NA,NA,NA
1999,Chiba Lotte Marines,OF,brede-001bre,Brent Brede,30,NA,NA,NA,NA,NA,NA,NA
1999,Chiba Lotte Marines,OF,takaha000mas,Masahiro Takahashi,21,NA,NA,NA,NA,NA,NA,NA
1999,Chiba Lotte Marines,OF,fukuur001kaz,Kazuya Fukuura,18,NA,NA,NA,NA,NA,NA,NA
1999,Chiba Lotte Marines,OF,satoh-001yuk,Yukihiko Sato,17,NA,NA,NA,NA,NA,NA,NA
1999,Chiba Lotte Marines,OF,tachik001tak,Takashi Tachikawa,14,NA,NA,NA,NA,NA,NA,NA
1999,Chiba Lotte Marines,OF,hayaka001ken,Kenichiro Hayakawa,7,NA,NA,NA,NA,NA,NA,NA
1999,Chiba Lotte Marines,OF,oho---001hir,Hiromi Oho,3,NA,NA,NA,NA,NA,NA,NA
