Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1999,Hiroshima Toyo Carp,2B,higash001aki,Akihiro Higashide,68,NA,NA,NA,NA,NA,NA,NA
1999,Hiroshima Toyo Carp,2B,kimura001tak,Takuya Kimura,44,NA,NA,NA,NA,NA,NA,NA
1999,Hiroshima Toyo Carp,2B,machid001koj,Kojiro Machida,18,NA,NA,NA,NA,NA,NA,NA
1999,Hiroshima Toyo Carp,2B,tomash000ken,Kenji Tomashino,17,NA,NA,NA,NA,NA,NA,NA
1999,Hiroshima Toyo Carp,2B,perdom002fel,Felix Perdomo,15,NA,NA,NA,NA,NA,NA,NA
1999,Hiroshima Toyo Carp,2B,diaz--002edd,Eddy Díaz,13,NA,NA,NA,NA,NA,NA,NA
1999,Hiroshima Toyo Carp,2B,hyodoh001hid,Hideharu Hyodo,11,NA,NA,NA,NA,NA,NA,NA
1999,Hiroshima Toyo Carp,2B,fukuch001kaz,Kazuki Fukuchi,2,NA,NA,NA,NA,NA,NA,NA
1999,Hiroshima Toyo Carp,2B,inoue-001koj,Koji Inoue,2,NA,NA,NA,NA,NA,NA,NA
1999,Hiroshima Toyo Carp,2B,ogata-001koh,Koichi Ogata,2,NA,NA,NA,NA,NA,NA,NA
1999,Hiroshima Toyo Carp,2B,tamaki001tom,Tomotaka Tamaki,2,NA,NA,NA,NA,NA,NA,NA
1999,Hiroshima Toyo Carp,2B,wakaba000tak,Takanobu Wakabayashi,2,NA,NA,NA,NA,NA,NA,NA
1999,Hiroshima Toyo Carp,2B,nishiy001shu,Shuji Nishiyama,1,NA,NA,NA,NA,NA,NA,NA
