Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1999,Orix Blue Wave,OF,tani--001yos,Yoshitomo Tani,120,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,OF,suzuki001ich,Ichiro Suzuki,103,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,OF,matsum001shu,Shuichiro Matsumoto,70,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,OF,kase--001tos,Toshihiro Kase,63,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,OF,taguch001so-,So Taguchi,58,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,OF,pullia001har,Harvey Pulliam,49,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,OF,perez-001rob,Robert Pérez,48,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,OF,fujii-001yas,Yasuo Fujii,7,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,OF,tanaka004mas,Masaoki Tanaka,6,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,OF,gonzal001pau,Paul Gonzalez,1,NA,NA,NA,NA,NA,NA,NA
1999,Orix Blue Wave,OF,yanagi001yui,Yuichi Yanagisawa,1,NA,NA,NA,NA,NA,NA,NA
