Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1999,Seibu Lions,3B,suzuki001ken,Ken Suzuki,110,NA,NA,NA,NA,NA,NA,NA
1999,Seibu Lions,3B,ueda--001hir,Hiroaki Ueda,69,NA,NA,NA,NA,NA,NA,NA
1999,Seibu Lions,3B,cianfr001ang,Archi Cianfrocco,14,NA,NA,NA,NA,NA,NA,NA
1999,Seibu Lions,3B,harai-001kaz,Kazuya Harai,14,NA,NA,NA,NA,NA,NA,NA
1999,Seibu Lions,3B,tamano001hir,Hiromasa Tamano,6,NA,NA,NA,NA,NA,NA,NA
1999,Seibu Lions,3B,tanabe001nor,Norio Tanabe,5,NA,NA,NA,NA,NA,NA,NA
1999,Seibu Lions,3B,takagi001hir,Hiroyuki Takagi,4,NA,NA,NA,NA,NA,NA,NA
1999,Seibu Lions,3B,kuroda001sat,Satoshi Kuroda,2,NA,NA,NA,NA,NA,NA,NA
1999,Seibu Lions,3B,furuya001tsu,Tsuyoshi Furuya,1,NA,NA,NA,NA,NA,NA,NA
1999,Seibu Lions,3B,kanemu000yos,Yoshiaki Kanemura,1,NA,NA,NA,NA,NA,NA,NA
1999,Seibu Lions,3B,shimiz002mas,Masaji Shimizu,1,NA,NA,NA,NA,NA,NA,NA
