Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2000,Hanshin Tigers,1B,taihoh001yas,Yasuaki Taiho,85,NA,NA,NA,NA,NA,NA,NA
2000,Hanshin Tigers,1B,hirosa001kat,Katsumi Hirosawa,33,NA,NA,NA,NA,NA,NA,NA
2000,Hanshin Tigers,1B,yagi--001hir,Hiroshi Yagi,17,NA,NA,NA,NA,NA,NA,NA
2000,Hanshin Tigers,1B,hiyama001shi,Shinjiro Hiyama,14,NA,NA,NA,NA,NA,NA,NA
2000,Hanshin Tigers,1B,nemoto001ryu,Ryuki Nemoto,10,NA,NA,NA,NA,NA,NA,NA
2000,Hanshin Tigers,1B,nomura001kat,Katsunori Nomura,7,NA,NA,NA,NA,NA,NA,NA
2000,Hanshin Tigers,1B,toyama001sho,Shoji Toyama,7,NA,NA,NA,NA,NA,NA,NA
2000,Hanshin Tigers,1B,kasai-001min,Minoru Kasai,5,NA,NA,NA,NA,NA,NA,NA
2000,Hanshin Tigers,1B,hoshin001osa,Osamu Hoshino,3,NA,NA,NA,NA,NA,NA,NA
2000,Hanshin Tigers,1B,kitaga001hir,Hirotoshi Kitagawa,3,NA,NA,NA,NA,NA,NA,NA
2000,Hanshin Tigers,1B,shiota001kaz,Kazuhiko Shiotani,2,NA,NA,NA,NA,NA,NA,NA
2000,Hanshin Tigers,1B,yoshid001tak,Takashi Yoshida,2,NA,NA,NA,NA,NA,NA,NA
