Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2002,Fukuoka Daiei Hawks,P,yoshid001shu,Shuji Yoshida,62,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,watana003mas,Masakazu Watanabe,57,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,okamot001kat,Katsunori Okamoto,48,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,pedraz001rod,Rod Pedraza,34,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,hoshin001jun,Junji Hoshino,33,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,tanoue001kei,Keisaburo Tanoue,26,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,wakata001ken,Kenichi Wakatabe,26,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,iijima001kaz,Kazuhiko Iijima,24,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,shinoh001tak,Takayuki Shinohara,19,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,yamada001aki,Akichika Yamada,18,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,nagai-001tom,Tomohiro Nagai,17,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,raggio001bra,Brady Raggio,15,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,teraha001hay,Hayato Terahara,14,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,suzuki001tai,Taira Suzuki,12,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,matsum001aki,Akira Matsumoto,11,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,sugiuc001tos,Toshiya Sugiuchi,11,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,saitoh001kaz,Kazumi Saito,10,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,kurano001shi,Shinji Kurano,9,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,kimura001shi,Shigeru Kimura,7,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,matsu-001nob,Nobuyasu Matsu,7,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,ogura-001shi,Shinsuke Ogura,7,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,sakumo001mas,Masahiro Sakumoto,7,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,satoh-001mak,Makoto Sato,7,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,mizuta001aki,Akio Mizuta,6,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,yoshit001shi,Shintaro Yoshitake,6,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,higasa001mas,Masahito Higasa,2,NA,NA,NA,NA,NA,NA,NA
2002,Fukuoka Daiei Hawks,P,doi---001mas,Masahiro Doi,1,NA,NA,NA,NA,NA,NA,NA
