Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2002,Seibu Lions,P,mori--001shi,Shinji Mori,71,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,toyoda001kiy,Kiyoshi Toyoda,57,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,doi---001yos,Yoshihiro Doi,50,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,mitsui001koj,Koji Mitsui,41,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,aoki--001hay,Hayato Aoki,36,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,mizuo-001yos,Yoshitaka Mizuo,35,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,nishig001fum,Fumiya Nishiguchi,29,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,shioza001tet,Tetsuya Shiozaki,28,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,ishii-002tak,Takashi Ishii,22,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,hsu---001min,Ming Chieh Hsu,20,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,chang-001chi,Chih Chia Chang,19,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,uchizo001nao,Naoki Uchizono,17,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,gotoh-002mit,Mitsutaka Goto,16,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,matsuz001dai,Daisuke Matsuzaka,14,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,hoshin001tom,Tomoki Hoshino,8,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,toriya001ken,Kenichi Toriyabe,6,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,ohnuma001koj,Koji Onuma,5,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,hashim001tak,Takehiro Hashimoto,4,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,hoashi001kaz,Kazuyuki Hoashi,3,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,tomori001den,Denney Tomori,3,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,tomiok002his,Hisaki Tomioka,2,NA,NA,NA,NA,NA,NA,NA
2002,Seibu Lions,P,takesh001jun,Jun Takeshita,1,NA,NA,NA,NA,NA,NA,NA
