Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2005,Tohoku Rakuten Golden Eagles,3B,lopez-001lui,Luis Lopez,64,NA,41,82,4,7,0.969,1.92
2005,Tohoku Rakuten Golden Eagles,3B,tracy-001and,Andy Tracy,50,NA,29,55,9,8,0.903,1.68
2005,Tohoku Rakuten Golden Eagles,3B,sakai-001tad,Tadaharu Sakai,26,NA,10,31,1,3,0.976,1.58
2005,Tohoku Rakuten Golden Eagles,3B,nagaik001yas,Yasuo Nagaike,25,NA,7,16,1,0,0.958,0.92
2005,Tohoku Rakuten Golden Eagles,3B,ohshim001koi,Koichi Oshima,17,NA,9,10,0,0,1,1.12
2005,Tohoku Rakuten Golden Eagles,3B,saitoh001hid,Hidemitsu Saito,10,NA,2,13,2,3,0.882,1.5
2005,Tohoku Rakuten Golden Eagles,3B,hoshin001osa,Osamu Hoshino,8,NA,1,6,0,0,1,0.88
2005,Tohoku Rakuten Golden Eagles,3B,maeda-001tad,Tadatoki Maeda,5,NA,0,2,0,0,1,0.4
2005,Tohoku Rakuten Golden Eagles,3B,yamash001kat,Katsumi Yamashita,5,NA,1,2,0,0,1,0.6
2005,Tohoku Rakuten Golden Eagles,3B,yoshio001yuj,Yuji Yoshioka,2,NA,0,2,0,0,1,1
2005,Tohoku Rakuten Golden Eagles,3B,satake001man,Manabu Satake,1,NA,0,0,0,0,NA,0
