Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2007,Orix Buffaloes,P,katoh-001dai,Daisuke Kato,63,NA,3,12,0,0,1,0.24
2007,Orix Buffaloes,P,takagi001yas,Yasunari Takagi,54,NA,2,14,0,1,1,0.3
2007,Orix Buffaloes,P,motoya001kaz,Kazuya Motoyanagi,49,NA,2,11,0,1,1,0.27
2007,Orix Buffaloes,P,ohkubo001mas,Masanobu Okubo,42,NA,1,4,1,0,0.833,0.12
2007,Orix Buffaloes,P,kishid001mam,Mamoru Kishida,39,NA,9,14,1,1,0.958,0.59
2007,Orix Buffaloes,P,kaneko001chi,Chihiro Kaneko,36,NA,2,9,0,0,1,0.31
2007,Orix Buffaloes,P,yoshid001shu,Shuji Yoshida,36,NA,0,3,0,0,1,0.08
2007,Orix Buffaloes,P,carter001lan,Lance Carter,34,NA,6,10,1,0,0.941,0.47
2007,Orix Buffaloes,P,kikuch001tsu,Tsuyoshi Kikuchihara,28,NA,1,6,1,0,0.875,0.25
2007,Orix Buffaloes,P,hirano001yos,Yoshihisa Hirano,27,NA,8,36,1,3,0.978,1.63
2007,Orix Buffaloes,P,davey-001tho,Tom Davey,26,NA,8,19,0,0,1,1.04
2007,Orix Buffaloes,P,kawago001hid,Hidetaka Kawagoe,24,NA,7,22,1,0,0.967,1.21
2007,Orix Buffaloes,P,yamamo001sho,Shogo Yamamoto,19,NA,2,11,0,1,1,0.68
2007,Orix Buffaloes,P,tanaka001yuk,Yuki Tanaka,16,NA,0,6,2,0,0.75,0.38
2007,Orix Buffaloes,P,yoshii001mas,Masato Yoshii,10,NA,0,7,0,1,1,0.7
2007,Orix Buffaloes,P,serafi001dan,Dan Serafini,9,NA,0,8,0,0,1,0.89
2007,Orix Buffaloes,P,komats001sat,Satoshi Komatsu,8,NA,0,1,0,0,1,0.13
2007,Orix Buffaloes,P,katsuk001ryo,Ryota Katsuki,3,NA,0,1,0,0,1,0.33
2007,Orix Buffaloes,P,katoh-001kos,Kosuke Kato,2,NA,0,0,0,0,NA,0
2007,Orix Buffaloes,P,kondoh001kaz,Kazuki Kondoh,2,NA,0,0,0,0,NA,0
2007,Orix Buffaloes,P,mitsuh001ats,Atsuhiro Mitsuhara,2,NA,0,0,0,0,NA,0
2007,Orix Buffaloes,P,nakaya001shi,Shinya Nakayama,2,NA,0,0,0,0,NA,0
2007,Orix Buffaloes,P,yoshik001kat,Katsunari Yoshikawa,1,NA,0,1,0,0,1,1
