Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2009,Yokohama Bay Stars,P,sanada001hir,Hiroki Sanada,68,NA,6,15,0,1,1,0.31
2009,Yokohama Bay Stars,P,takasa001ken,Kentaro Takasaki,56,NA,10,7,1,1,0.944,0.3
2009,Yokohama Bay Stars,P,yamagu001shu,Shun Yamaguchi,51,NA,2,6,0,1,1,0.16
2009,Yokohama Bay Stars,P,kudoh-001kim,Kimiyasu Kudo,46,NA,0,8,0,0,1,0.17
2009,Yokohama Bay Stars,P,kizuka001ats,Atsushi Kizuka,43,NA,2,4,0,0,1,0.14
2009,Yokohama Bay Stars,P,katoh-001kos,Kosuke Kato,31,NA,1,2,0,0,1,0.1
2009,Yokohama Bay Stars,P,ishii-001yuy,Yuya Ishii,28,NA,0,5,1,0,0.833,0.18
2009,Yokohama Bay Stars,P,miura-001dai,Daisuke Miura,28,NA,12,43,0,1,1,1.96
2009,Yokohama Bay Stars,P,yoshim001yuj,Yuji Yoshimi,27,NA,9,14,0,1,1,0.85
2009,Yokohama Bay Stars,P,glynn-001rya,Ryan Glynn,23,NA,7,16,3,0,0.885,1
2009,Yokohama Bay Stars,P,walron001les,Les Walrond,21,NA,4,14,4,1,0.818,0.86
2009,Yokohama Bay Stars,P,mastny001tho,Tom Mastny,15,NA,9,6,0,0,1,1
2009,Yokohama Bay Stars,P,yokoya001yuk,Yukiya Yokoyama,14,NA,0,4,0,0,1,0.29
2009,Yokohama Bay Stars,P,teraha001hay,Hayato Terahara,13,NA,3,19,3,1,0.88,1.69
2009,Yokohama Bay Stars,P,kobaya001fut,Futoshi Kobayashi,12,NA,1,14,3,1,0.833,1.25
2009,Yokohama Bay Stars,P,nasuno001tak,Takumi Nasuno,12,NA,1,1,0,0,1,0.17
2009,Yokohama Bay Stars,P,kuwaha001ken,Kentaro Kuwahara,11,NA,5,4,0,1,1,0.82
2009,Yokohama Bay Stars,P,takami001kaz,Kazuya Takamiya,11,NA,0,1,0,1,1,0.09
2009,Yokohama Bay Stars,P,yoshik001ter,Teruaki Yoshikawa,10,NA,2,4,0,1,1,0.6
2009,Yokohama Bay Stars,P,fujie-001hit,Hitoshi Fujie,9,NA,2,9,1,0,0.917,1.22
2009,Yokohama Bay Stars,P,katoh-001tak,Takeharu Kato,9,NA,1,0,0,0,1,0.11
2009,Yokohama Bay Stars,P,matsuk001tak,Takahiro Matsuka,9,NA,0,8,0,0,1,0.89
2009,Yokohama Bay Stars,P,randol001ste,Steve Randolph,8,NA,0,11,0,0,1,1.38
2009,Yokohama Bay Stars,P,oyamad001yas,Yasuhiro Oyamada,7,NA,2,4,0,0,1,0.86
2009,Yokohama Bay Stars,P,ushida001shi,Shigeki Ushida,4,NA,0,0,0,0,NA,0
2009,Yokohama Bay Stars,P,kosugi001yot,Yota Kosugi,1,NA,0,0,0,0,NA,0
2009,Yokohama Bay Stars,P,ota---001ato,Atori Ota,1,NA,0,0,0,0,NA,0
