Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2010,Hiroshima Carp,OF,hirose001jun,Jun Hirose,129,NA,274,10,2,3,0.993,2.2
2010,Hiroshima Carp,OF,akamat001mas,Masato Akamatsu,101,NA,181,10,0,2,1,1.89
2010,Hiroshima Carp,OF,amaya-001soh,Soichiro Amaya,93,NA,176,6,4,1,0.978,1.96
2010,Hiroshima Carp,OF,shima-001shi,Shigenobu Shima,81,NA,135,2,2,0,0.986,1.69
2010,Hiroshima Carp,OF,fioren001jef,Jeff Fiorentino,39,NA,51,3,1,1,0.982,1.38
2010,Hiroshima Carp,OF,suenag001mas,Masafumi Suenaga,18,NA,32,1,2,0,0.943,1.83
2010,Hiroshima Carp,OF,iwamot002tak,Takahiro Iwamoto,14,NA,23,0,0,0,1,1.64
2010,Hiroshima Carp,OF,mukae-001yui,Yuichiro Mukae,14,NA,12,1,1,0,0.929,0.93
2010,Hiroshima Carp,OF,kimura001sho,Shogo Kimura,12,NA,3,0,0,0,1,0.25
2010,Hiroshima Carp,OF,maru--001yos,Yoshihiro Maru,9,NA,11,0,0,0,1,1.22
2010,Hiroshima Carp,OF,nakahi001nao,Naoki Nakahigashi,7,NA,5,1,0,1,1,0.86
2010,Hiroshima Carp,OF,yamamo001yos,Yoshihiko Yamamoto,4,NA,5,0,0,0,1,1.25
2010,Hiroshima Carp,OF,huber-001jus,Justin Huber,1,NA,1,0,0,0,1,1
2010,Hiroshima Carp,OF,matsum002tak,Takaaki Matsumoto,1,NA,0,0,0,0,NA,0
