Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2012,Yokohama Bay Stars,OF,aranam000sho,Sho Aranami,136,NA,314,10,4,2,0.988,2.38
2012,Yokohama Bay Stars,OF,ramire002ale,Alex Ramírez,118,NA,126,1,3,0,0.977,1.08
2012,Yokohama Bay Stars,OF,kinjoh001tat,Tatsuhiko Kinjo,95,NA,122,3,0,0,1,1.32
2012,Yokohama Bay Stars,OF,morimo001hic,Hichori Morimoto,90,NA,117,4,3,1,0.976,1.34
2012,Yokohama Bay Stars,OF,shimoz001tat,Tatsuya Shimozono,28,NA,35,1,2,0,0.947,1.29
2012,Yokohama Bay Stars,OF,koike-001mas,Masaaki Koike,25,NA,28,0,0,0,1,1.12
2012,Yokohama Bay Stars,OF,shimam001ikk,Ikki Shimamura,20,NA,12,0,0,0,1,0.6
2012,Yokohama Bay Stars,OF,yoshim001yuk,Yuki Yoshimura,13,NA,26,1,1,0,0.964,2.08
2012,Yokohama Bay Stars,OF,tsutsu000yos,Yoshi Tsutsugo,12,NA,15,0,1,0,0.938,1.25
2012,Yokohama Bay Stars,OF,matsum001kei,Keijiro Matsumoto,10,NA,5,0,1,0,0.833,0.5
2012,Yokohama Bay Stars,OF,ide---001sho,Shotaro Ide,9,NA,13,0,0,0,1,1.44
2012,Yokohama Bay Stars,OF,gotoh-001tak,Taketoshi Goto,4,NA,8,0,1,0,0.889,2
2012,Yokohama Bay Stars,OF,uchimu001ken,Kensuke Uchimura,3,NA,1,0,0,0,1,0.33
2012,Yokohama Bay Stars,OF,ishika001tak,Takehiro Ishikawa,2,NA,8,0,0,0,1,4
2012,Yokohama Bay Stars,OF,kita--001ats,Atsushi Kita,1,NA,0,0,0,0,NA,0
2012,Yokohama Bay Stars,OF,kuwaha000mas,Masayuki Kuwahara,1,NA,0,0,0,0,NA,0
