Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2013,Tohoku Rakuten Golden Eagles,P,aoyama001koj,Kouji Aoyama,60,NA,4,6,0,0,1,0.17
2013,Tohoku Rakuten Golden Eagles,P,koyama001shi,Shinichiro Koyama,45,NA,1,3,0,0,1,0.09
2013,Tohoku Rakuten Golden Eagles,P,kaneto001nor,Norihito Kaneto,39,NA,1,7,0,1,1,0.21
2013,Tohoku Rakuten Golden Eagles,P,rasner001dar,Darrell Rasner,37,NA,0,1,0,0,1,0.03
2013,Tohoku Rakuten Golden Eagles,P,kataya001hir,Hiroshi Katayama,31,NA,1,10,0,0,1,0.35
2013,Tohoku Rakuten Golden Eagles,P,saito-001tak,Takashi Saito,30,NA,1,3,0,0,1,0.13
2013,Tohoku Rakuten Golden Eagles,P,tanaka003mas,Masahiro Tanaka,28,NA,14,40,0,4,1,1.93
2013,Tohoku Rakuten Golden Eagles,P,norimo000tak,Takahiro Norimoto,27,NA,5,20,0,0,1,0.93
2013,Tohoku Rakuten Golden Eagles,P,hasebe001koh,Kohei Hasebe,24,NA,4,11,0,1,1,0.63
2013,Tohoku Rakuten Golden Eagles,P,fukuya000hir,Hiroyuki Fukuyama,22,NA,3,6,0,0,1,0.41
2013,Tohoku Rakuten Golden Eagles,P,heuser001jam,Jim Heuser,22,NA,1,5,1,0,0.857,0.27
2013,Tohoku Rakuten Golden Eagles,P,duckwo001bra,Brandon Duckworth,18,NA,4,17,3,1,0.875,1.17
2013,Tohoku Rakuten Golden Eagles,P,mima--000man,Manabu Mima,18,NA,7,16,0,1,1,1.28
2013,Tohoku Rakuten Golden Eagles,P,miyaga000sho,Sho Miyagawa,17,NA,1,5,0,0,1,0.35
2013,Tohoku Rakuten Golden Eagles,P,kikuch001yas,Yasunori Kikuchi,14,NA,0,8,0,0,1,0.57
2013,Tohoku Rakuten Golden Eagles,P,takaho000kaz,Kazuya Takahori,14,NA,0,0,0,0,NA,0
2013,Tohoku Rakuten Golden Eagles,P,tomura001ken,Kenji Tomura,12,NA,3,8,0,0,1,0.92
2013,Tohoku Rakuten Golden Eagles,P,hoshin001tom,Tomoki Hoshino,11,NA,0,1,0,0,1,0.09
2013,Tohoku Rakuten Golden Eagles,P,karash001wat,Wataru Karashima,11,NA,3,10,0,1,1,1.18
2013,Tohoku Rakuten Golden Eagles,P,nagai-001sat,Satoshi Nagai,10,NA,3,6,0,0,1,0.9
2013,Tohoku Rakuten Golden Eagles,P,kamata000yos,Yoshinao Kamata,8,NA,0,2,0,0,1,0.25
2013,Tohoku Rakuten Golden Eagles,P,katoh-001dai,Daisuke Kato,6,NA,0,1,0,0,1,0.17
2013,Tohoku Rakuten Golden Eagles,P,kawai-001tak,Takashi Kawai,6,NA,0,7,0,1,1,1.17
2013,Tohoku Rakuten Golden Eagles,P,ray---001ken,Ken Ray,5,NA,0,2,1,0,0.667,0.4
2013,Tohoku Rakuten Golden Eagles,P,tsuchi001tom,Tomohiro Tsuchiya,5,NA,0,0,0,0,NA,0
2013,Tohoku Rakuten Golden Eagles,P,uezono001kei,Keiji Uezono,5,NA,2,0,0,0,1,0.4
