Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2013,Yomiuri Giants,1B,lopez-007jos,José López,118,NA,979,60,3,64,0.997,8.81
2013,Yomiuri Giants,1B,bowker001joh,John Bowker,22,NA,98,8,0,7,1,4.82
2013,Yomiuri Giants,1B,nakai-001dai,Daisuke Nakai,20,NA,87,7,0,10,1,4.7
2013,Yomiuri Giants,1B,kamei-001yos,Yoshiyuki Kamei,19,NA,33,4,1,3,0.974,1.95
2013,Yomiuri Giants,1B,ishii-001yos,Yoshihito Ishii,12,NA,25,2,2,1,0.931,2.25
2013,Yomiuri Giants,1B,ogasaw001mic,Michihiro Ogasawara,7,NA,22,1,0,2,1,3.29
2013,Yomiuri Giants,1B,abe---001shi,Shinnosuke Abe,5,NA,39,4,0,3,1,8.6
2013,Yomiuri Giants,1B,sakagu000mas,Masaki Sakaguchi,5,NA,18,0,0,0,1,3.6
2013,Yomiuri Giants,1B,sakamo001hay,Hayato Sakamoto,3,NA,18,2,0,3,1,6.67
2013,Yomiuri Giants,1B,wakiya001ryo,Ryota Wakiya,3,NA,5,0,0,0,1,1.67
