Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2014,Hiroshima Carp,P,nakata001ren,Ren Nakata,66,NA,3,14,0,0,1,0.26
2014,Hiroshima Carp,P,nagaka001kat,Katsuhiro Nagakawa,52,NA,10,13,1,1,0.958,0.44
2014,Hiroshima Carp,P,mickol001kam,Kam Mickolio,51,NA,1,6,0,0,1,0.14
2014,Hiroshima Carp,P,nakaza000sho,Shota Nakazaki,32,NA,1,7,0,0,1,0.25
2014,Hiroshima Carp,P,ichiok000ryu,Ryuji Ichioka,31,NA,0,2,0,0,1,0.06
2014,Hiroshima Carp,P,toda--000tak,Takaya Toda,30,NA,2,9,0,0,1,0.37
2014,Hiroshima Carp,P,maeda-001ken,Kenta Maeda,27,NA,9,39,4,4,0.923,1.78
2014,Hiroshima Carp,P,osera-001dai,Daichi Ohsera,26,NA,7,28,0,1,1,1.35
2014,Hiroshima Carp,P,bullin001bry,Bryan Bullington,23,NA,8,21,0,1,1,1.26
2014,Hiroshima Carp,P,ono---000jum,Jumpei Ono,22,NA,4,13,0,2,1,0.77
2014,Hiroshima Carp,P,kuri--000are,Aren Kuri,20,NA,3,13,0,1,1,0.8
2014,Hiroshima Carp,P,nomura001yus,Yusuke Nomura,19,NA,2,19,1,0,0.955,1.11
2014,Hiroshima Carp,P,imamur001tak,Takeru Imamura,17,NA,0,3,1,0,0.75,0.18
2014,Hiroshima Carp,P,kawauc001tak,Takaya Kawauchi,12,NA,1,2,1,0,0.75,0.25
2014,Hiroshima Carp,P,shinod001jum,Jumpei Shinoda,12,NA,3,9,0,0,1,1
2014,Hiroshima Carp,P,fukui-000yuy,Yuya Fukui,11,NA,6,6,1,1,0.923,1.09
2014,Hiroshima Carp,P,imai--002kei,Keisuke Imai,11,NA,1,1,3,0,0.4,0.18
2014,Hiroshima Carp,P,nishih000kei,Keita Nishihara,11,NA,0,7,1,0,0.875,0.64
2014,Hiroshima Carp,P,umetsu001tom,Tomohiro Umetsu,11,NA,1,2,0,0,1,0.27
2014,Hiroshima Carp,P,philli001zac,Zach Phillips,9,NA,0,1,1,0,0.5,0.11
2014,Hiroshima Carp,P,egusa-001hir,Hirotaka Egusa,8,NA,0,0,0,0,NA,0
2014,Hiroshima Carp,P,hisamo001yui,Yuichi Hisamoto,8,NA,1,0,1,0,0.5,0.13
2014,Hiroshima Carp,P,heath-001deu,Deunte Heath,7,NA,2,4,0,0,1,0.86
2014,Hiroshima Carp,P,yokoya001ryu,Ryuji Yokoyama,6,NA,0,0,0,0,NA,0
2014,Hiroshima Carp,P,ikenou000ryo,Ryosuke Ikenouchi,2,NA,1,1,0,0,1,1
2014,Hiroshima Carp,P,ueno--001hir,Hirofumi Ueno,1,NA,0,2,0,0,1,2
