Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2014,Hokkaido Nippon Ham Fighters,1B,mirand001jua,Juan Miranda,69,NA,521,29,3,37,0.995,7.97
2014,Hokkaido Nippon Ham Fighters,1B,nishik000har,Haruki Nishikawa,51,NA,245,15,1,19,0.996,5.1
2014,Hokkaido Nippon Ham Fighters,1B,nakata001sho,Sho Nakata,31,NA,224,13,1,20,0.996,7.65
2014,Hokkaido Nippon Ham Fighters,1B,koyano001eii,Eiichi Koyano,24,NA,98,9,0,4,1,4.46
2014,Hokkaido Nippon Ham Fighters,1B,kita--001ats,Atsushi Kita,16,NA,85,8,0,2,1,5.81
2014,Hokkaido Nippon Ham Fighters,1B,inaba-001ats,Atsunori Inaba,13,NA,83,5,3,6,0.967,6.77
2014,Hokkaido Nippon Ham Fighters,1B,sato--001ken,Kenji Sato,6,NA,26,0,0,2,1,4.33
2014,Hokkaido Nippon Ham Fighters,1B,ugumor001ats,Atsushi Ugumori,4,NA,13,0,0,0,1,3.25
2014,Hokkaido Nippon Ham Fighters,1B,abreu-001mic,Michel Abreu,2,NA,8,0,0,2,1,4
2014,Hokkaido Nippon Ham Fighters,1B,akada-001sho,Shogo Akada,1,NA,1,0,0,0,1,1
2014,Hokkaido Nippon Ham Fighters,1B,kaneko001mak,Makoto Kaneko,1,NA,9,0,0,0,1,9
2014,Hokkaido Nippon Ham Fighters,1B,ozaki-001mas,Masaya Ozaki,1,NA,4,0,0,0,1,4
