Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2015,Fukuoka Softbank Hawks,1B,akashi001ken,Kenji Akashi,60,NA,310,33,1,16,0.997,5.72
2015,Fukuoka Softbank Hawks,1B,nakamu000aki,Akira Nakamura,55,NA,306,25,3,20,0.991,6.02
2015,Fukuoka Softbank Hawks,1B,lee---000dae,Dae-ho Lee,54,NA,406,38,3,29,0.993,8.22
2015,Fukuoka Softbank Hawks,1B,yoshim001yuk,Yuki Yoshimura,22,NA,140,10,1,10,0.993,6.82
2015,Fukuoka Softbank Hawks,1B,takata000tom,Tomoki Takata,8,NA,19,1,0,0,1,2.5
2015,Fukuoka Softbank Hawks,1B,caniza001bar,Bárbaro Cañizares,4,NA,30,2,0,0,1,8
2015,Fukuoka Softbank Hawks,1B,uchika001sei,Seiichi Uchikawa,3,NA,13,0,0,0,1,4.33
2015,Fukuoka Softbank Hawks,1B,kaneko001kei,Keisuke Kaneko,2,NA,2,0,0,0,1,1
2015,Fukuoka Softbank Hawks,1B,kawash001kei,Keizo Kawashima,2,NA,1,0,1,1,0.5,0.5
2015,Fukuoka Softbank Hawks,1B,tsukad000mas,Masayoshi Tsukada,2,NA,2,0,0,0,1,1
