Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2016,Yomiuri Giants,OF,chono-001his,Hisayoshi Chono,141,NA,209,5,1,1,0.995,1.52
2016,Yomiuri Giants,OF,jones-002gar,Garrett Jones,78,NA,73,2,1,0,0.987,0.96
2016,Yomiuri Giants,OF,hashim001ita,Itaru Hashimoto,70,NA,138,3,1,0,0.993,2.01
2016,Yomiuri Giants,OF,kamei-001yos,Yoshiyuki Kamei,58,NA,91,6,0,2,1,1.67
2016,Yomiuri Giants,OF,tateok001soi,Soichiro Tateoka,48,NA,89,3,2,1,0.979,1.92
2016,Yomiuri Giants,OF,ota---001tai,Taishi Ohta,43,NA,49,0,1,0,0.98,1.14
2016,Yomiuri Giants,OF,matsum001tet,Tetsuya Matsumoto,41,NA,35,0,0,0,1,0.85
2016,Yomiuri Giants,OF,suzuki001tak,Takahiro Suzuki,27,NA,8,0,0,0,1,0.3
2016,Yomiuri Giants,OF,shigen000shi,Shinnosuke Shigenobu,22,NA,29,0,0,0,1,1.32
2016,Yomiuri Giants,OF,donoue001tak,Takehiro Donoue,5,NA,3,0,0,0,1,0.6
2016,Yomiuri Giants,OF,nakai-001dai,Daisuke Nakai,3,NA,3,1,0,0,1,1.33
2016,Yomiuri Giants,OF,kita--001ats,Atsushi Kita,2,NA,2,0,0,0,1,1
2016,Yomiuri Giants,OF,garcia048jos,Adolis García,1,NA,1,0,0,0,1,1
2016,Yomiuri Giants,OF,wakiya001ryo,Ryota Wakiya,1,NA,2,0,0,0,1,2
