Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2017,Fukuoka Softbank Hawks,OF,nakamu000aki,Akira Nakamura,137,NA,242,6,1,0,0.996,1.81
2017,Fukuoka Softbank Hawks,OF,uebaya000sei,Seiji Uebayashi,130,NA,168,10,0,1,1,1.37
2017,Fukuoka Softbank Hawks,OF,yanagi000yuk,Yuki Yanagita,130,NA,233,6,1,1,0.996,1.84
2017,Fukuoka Softbank Hawks,OF,fukuda001shu,Shuhei Fukuda,84,NA,61,0,0,0,1,0.73
2017,Fukuoka Softbank Hawks,OF,egawa-001tom,Tomoaki Egawa,16,NA,15,0,0,0,1,0.94
2017,Fukuoka Softbank Hawks,OF,hasega001yuy,Yuya Hasegawa,9,NA,7,0,0,0,1,0.78
2017,Fukuoka Softbank Hawks,OF,masago000yus,Yusuke Masago,8,NA,6,0,0,0,1,0.75
2017,Fukuoka Softbank Hawks,OF,yoshim001yuk,Yuki Yoshimura,5,NA,7,0,0,0,1,1.4
2017,Fukuoka Softbank Hawks,OF,akashi001ken,Kenji Akashi,4,NA,4,0,0,0,1,1
2017,Fukuoka Softbank Hawks,OF,kawash001kei,Keizo Kawashima,4,NA,0,0,0,0,NA,0
2017,Fukuoka Softbank Hawks,OF,despai000alf,Alfredo Despaigne,3,NA,2,0,0,0,1,0.67
2017,Fukuoka Softbank Hawks,OF,kamamo000go-,Go Kamamoto,2,NA,2,1,0,0,1,1.5
2017,Fukuoka Softbank Hawks,OF,kidoko001ryu,Ryuma Kidokoro,2,NA,2,0,0,0,1,1
2017,Fukuoka Softbank Hawks,OF,tsukad000mas,Masayoshi Tsukada,2,NA,1,0,0,0,1,0.5
2017,Fukuoka Softbank Hawks,OF,uchika001sei,Seiichi Uchikawa,2,NA,0,0,0,0,NA,0
2017,Fukuoka Softbank Hawks,OF,makiha000tai,Taisei Makihara,1,NA,2,0,0,0,1,2
