Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2018,Hiroshima Carp,1B,matsuy001ryu,Ryuhei Matsuyama,56,NA,441,33,5,37,0.99,8.46
2018,Hiroshima Carp,1B,batist001xav,Xavier Batista,42,NA,310,30,3,29,0.991,8.1
2018,Hiroshima Carp,1B,dobaya000sho,Shota Dohbayashi,37,NA,60,4,0,7,1,1.73
2018,Hiroshima Carp,1B,arai--001tak,Takahiro Arai,24,NA,152,12,2,14,0.988,6.83
2018,Hiroshima Carp,1B,abe---000tom,Tomohiro Abe,19,NA,89,7,2,3,0.98,5.05
2018,Hiroshima Carp,1B,eldred001bra,Brad Eldred,18,NA,150,6,2,14,0.987,8.67
2018,Hiroshima Carp,1B,mejia-002ale,Alejandro Mejia,9,NA,51,3,0,4,1,6
2018,Hiroshima Carp,1B,mima--000yuk,Yuki Mima,9,NA,21,1,0,1,1,2.44
2018,Hiroshima Carp,1B,iwamot002tak,Takahiro Iwamoto,7,NA,15,0,0,1,1,2.14
2018,Hiroshima Carp,1B,nishik000ryo,Ryoma Nishikawa,3,NA,26,0,0,1,1,8.67
