Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2019,Orix Buffaloes,OF,yoshid002mas,Masataka Yoshida,98,NA,149,5,2,0,0.987,1.57
2019,Orix Buffaloes,OF,goto--000shu,Shunta Gotoh,82,NA,96,4,0,0,1,1.22
2019,Orix Buffaloes,OF,oda---000yuy,Yuya Oda,74,NA,100,4,1,1,0.99,1.41
2019,Orix Buffaloes,OF,nishiu000hay,Hayato Nishiura,73,NA,130,7,1,0,0.993,1.88
2019,Orix Buffaloes,OF,mune--000yum,Yuma Mune,53,NA,95,3,0,0,1,1.85
2019,Orix Buffaloes,OF,sano--000kod,Kodai Sano,52,NA,69,3,0,0,1,1.38
2019,Orix Buffaloes,OF,nakaga000kei,Keita Nakagawa,50,NA,64,0,0,0,1,1.28
2019,Orix Buffaloes,OF,kojima000shu,Shuhei Kojima,24,NA,32,0,1,0,0.97,1.33
2019,Orix Buffaloes,OF,romero003ste,Stefen Romero,18,NA,22,0,0,0,1,1.22
2019,Orix Buffaloes,OF,nishim011ryo,Ryo Nishimura,15,NA,23,0,0,0,1,1.53
2019,Orix Buffaloes,OF,sugimo000yut,Yutaro Sugimoto,15,NA,19,0,1,0,0.95,1.27
2019,Orix Buffaloes,OF,miyaza000yuk,Yuki Miyazaki,9,NA,4,0,0,0,1,0.44
2019,Orix Buffaloes,OF,matsui001yus,Yusuke Matsui,6,NA,8,1,0,0,1,1.5
2019,Orix Buffaloes,OF,takeda000ken,Kengo Takeda,5,NA,4,0,0,0,1,0.8
2019,Orix Buffaloes,OF,menese000joe,Joey Meneses,3,NA,5,0,0,0,1,1.67
2019,Orix Buffaloes,OF,moya--001ste,Steven Moya,1,NA,2,0,0,0,1,2
