Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2021,Chiba Lotte Marines,P,masuda000nao,Naoya Masuda,67,NA,5,6,1,0,0.917,0.16
2021,Chiba Lotte Marines,P,sasaki000chi,Chihaya Sasaki,54,NA,3,10,0,0,1,0.24
2021,Chiba Lotte Marines,P,ono---001fum,Fumiya Ono,49,NA,4,8,1,0,0.923,0.24
2021,Chiba Lotte Marines,P,herrma001fra,Frank Herrmann,45,NA,2,4,1,0,0.857,0.13
2021,Chiba Lotte Marines,P,karaka001yuk,Yuki Karakawa,38,NA,0,7,0,0,1,0.18
2021,Chiba Lotte Marines,P,tanaka001yas,Yasuhiro Tanaka,38,NA,5,9,0,0,1,0.37
2021,Chiba Lotte Marines,P,azuma-000yus,Yusuke Azuma,37,NA,4,6,1,0,0.909,0.27
2021,Chiba Lotte Marines,P,kuniyo000yuk,Yuki Kuniyoshi,25,NA,0,8,0,1,1,0.32
2021,Chiba Lotte Marines,P,ojima-000kaz,Kazuya Ojima,24,NA,18,23,0,1,1,1.71
2021,Chiba Lotte Marines,P,iwashi000dai,Daiki Iwashita,23,NA,1,10,1,1,0.917,0.48
2021,Chiba Lotte Marines,P,suzuki002sho,Shota Suzuki,23,NA,2,5,0,1,1,0.3
2021,Chiba Lotte Marines,P,futaki000kot,Kota Futaki,22,NA,11,15,0,2,1,1.18
2021,Chiba Lotte Marines,P,mima--000man,Manabu Mima,21,NA,5,20,2,0,0.926,1.19
2021,Chiba Lotte Marines,P,kawamu001tok,Tokito Kawamura,20,NA,4,5,0,0,1,0.45
2021,Chiba Lotte Marines,P,doi---000hid,Hideto Doi,14,NA,1,0,0,0,1,0.07
2021,Chiba Lotte Marines,P,nakamu001tos,Toshiya Nakamura,14,NA,1,5,0,0,1,0.43
2021,Chiba Lotte Marines,P,ishika000ayu,Ayumu Ishikawa,12,NA,4,18,0,1,1,1.83
2021,Chiba Lotte Marines,P,sasaki000rok,Roki Sasaki,11,NA,2,6,2,1,0.8,0.73
2021,Chiba Lotte Marines,P,flores009jos,Jose Flores,10,NA,0,3,0,0,1,0.3
2021,Chiba Lotte Marines,P,yokoya000rik,Rikuto Yokoyama,10,NA,2,0,0,0,1,0.2
2021,Chiba Lotte Marines,P,motoma000fum,Fumiya Motomae,8,NA,1,8,0,0,1,1.13
2021,Chiba Lotte Marines,P,ohmine001yut,Yuta Ohmine,8,NA,1,2,1,0,0.75,0.38
2021,Chiba Lotte Marines,P,tojo--000tai,Taiki Tojo,5,NA,0,1,0,0,1,0.2
2021,Chiba Lotte Marines,P,romero001enn,Enny Romero,4,NA,0,4,1,0,0.8,1
2021,Chiba Lotte Marines,P,narita000kak,Kakeru Narita,3,NA,0,0,0,0,NA,0
2021,Chiba Lotte Marines,P,dohi--000sei,Seiya Dohi,1,NA,0,0,0,0,NA,0
2021,Chiba Lotte Marines,P,minami000mas,Masaki Minami,1,NA,0,0,0,0,NA,0
