Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2021,Tohoku Rakuten Golden Eagles,OF,tatsum000ryo,Ryosuke Tatsumi,128,NA,259,8,2,2,0.993,2.09
2021,Tohoku Rakuten Golden Eagles,OF,okajim000tak,Takero Okajima,115,NA,226,5,2,0,0.991,2.01
2021,Tohoku Rakuten Golden Eagles,OF,shimau002hir,Hiroaki Shimauchi,103,NA,164,7,2,0,0.988,1.66
2021,Tohoku Rakuten Golden Eagles,OF,tanaka004kaz,Kazuki Tanaka,50,NA,42,3,2,1,0.957,0.9
2021,Tohoku Rakuten Golden Eagles,OF,mutoh-000ats,Atsuki Mutoh,39,NA,18,0,0,0,1,0.46
2021,Tohoku Rakuten Golden Eagles,OF,okoye-000lou,Louis Okoye,39,NA,58,1,1,1,0.983,1.51
2021,Tohoku Rakuten Golden Eagles,OF,watana000yos,Yoshiaki Watanabe,23,NA,38,2,0,0,1,1.74
2021,Tohoku Rakuten Golden Eagles,OF,ogo---000yuy,Yuya Ogoh,18,NA,28,1,0,0,1,1.61
2021,Tohoku Rakuten Golden Eagles,OF,dixon-000bra,Brandon Dixon,15,NA,19,1,1,1,0.952,1.33
2021,Tohoku Rakuten Golden Eagles,OF,yamasa000tsu,Tsuyoshi Yamasaki,11,NA,12,0,0,0,1,1.09
2021,Tohoku Rakuten Golden Eagles,OF,castil000rus,Rusney Castillo,4,NA,3,0,1,0,0.75,0.75
2021,Tohoku Rakuten Golden Eagles,OF,uchida000yas,Yasuhito Uchida,1,NA,2,0,0,0,1,2
