Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2022,Chiba Lotte Marines,1B,inoue-000sei,Seiya Inoue,54,NA,419,47,0,27,1,8.63
2022,Chiba Lotte Marines,1B,satoh-000tos,Toshiya Satoh,50,NA,296,24,0,16,1,6.4
2022,Chiba Lotte Marines,1B,yamagu000kok,Koki Yamaguchi,44,NA,309,21,0,26,1,7.5
2022,Chiba Lotte Marines,1B,miki--000ryo,Ryo Miki,16,NA,21,2,0,0,1,1.44
2022,Chiba Lotte Marines,1B,laird-001bra,Brandon Laird,10,NA,82,6,0,10,1,8.8
2022,Chiba Lotte Marines,1B,oka---000hir,Hiromi Oka,10,NA,28,4,0,2,1,3.2
2022,Chiba Lotte Marines,1B,sugano000tsu,Tsuyoshi Sugano,6,NA,18,2,0,1,1,3.33
2022,Chiba Lotte Marines,1B,fukuda000kok,Koki Fukuda,5,NA,1,2,0,0,1,0.6
2022,Chiba Lotte Marines,1B,yasuda000his,Hisanori Yasuda,5,NA,30,1,0,2,1,6.2
2022,Chiba Lotte Marines,1B,chatan000ken,Kenta Chatani,2,NA,1,0,0,0,1,0.5
2022,Chiba Lotte Marines,1B,fukuda001shu,Shuhei Fukuda,1,NA,5,1,1,1,0.857,6
2022,Chiba Lotte Marines,1B,hirasa000tai,Taiga Hirasawa,1,NA,0,0,0,0,NA,0
