Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2022,Saitama Seibu Lions,OF,ogrady000bri,Brian O'Grady,123,NA,209,6,2,0,0.991,1.75
2022,Saitama Seibu Lions,OF,otaki-000ait,Aito Takeda,120,NA,213,3,5,1,0.977,1.8
2022,Saitama Seibu Lions,OF,suzuki001sho,Shohei Suzuki,57,NA,118,1,3,0,0.975,2.09
2022,Saitama Seibu Lions,OF,kawago000sei,Seiji Kawagoe,46,NA,76,1,0,0,1,1.67
2022,Saitama Seibu Lions,OF,kaneko001yuj,Yuji Kaneko,43,NA,66,1,1,0,0.985,1.56
2022,Saitama Seibu Lions,OF,kishi-000jun,Junichiro Kishi,43,NA,46,2,2,0,0.96,1.12
2022,Saitama Seibu Lions,OF,nishik000man,Manaya Nishikawa,33,NA,21,0,0,0,1,0.64
2022,Saitama Seibu Lions,OF,hasega004shi,Shinya Hasegawa,30,NA,53,0,0,0,1,1.77
2022,Saitama Seibu Lions,OF,wakaba000gak,Gakuto Wakabayashi,25,NA,34,1,0,1,1,1.4
2022,Saitama Seibu Lions,OF,kumash000mas,Masato Kumashiro,20,NA,11,1,0,1,1,0.6
2022,Saitama Seibu Lions,OF,takagi000wat,Wataru Takagi,13,NA,21,1,0,1,1,1.69
2022,Saitama Seibu Lions,OF,tonosa000shu,Shuta Tonosaki,2,NA,0,0,0,0,NA,0
2022,Saitama Seibu Lions,OF,togawa000dai,Daisuke Togawa,1,NA,2,0,0,0,1,2
