Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2023,Fukuoka Softbank Hawks,P,tsumor000yuk,Yuki Tsumori,56,NA,2,7,0,1,1,0.16
2023,Fukuoka Softbank Hawks,P,matsum003yuk,Yuki Matsumoto,53,NA,1,6,1,1,0.875,0.13
2023,Fukuoka Softbank Hawks,P,osuna-002rob,Roberto Osuna,49,NA,2,8,0,1,1,0.2
2023,Fukuoka Softbank Hawks,P,kaino-000hir,Hiroshi Kaino,46,NA,1,9,0,0,1,0.22
2023,Fukuoka Softbank Hawks,P,ohtsu-001ryo,Ryosuke Ohtsu,46,NA,2,6,0,0,1,0.17
2023,Fukuoka Softbank Hawks,P,taura-000fum,Fumimaru Taura,45,NA,1,6,0,0,1,0.16
2023,Fukuoka Softbank Hawks,P,fujii-000koy,Kouya Fujii,34,NA,2,7,0,0,1,0.26
2023,Fukuoka Softbank Hawks,P,matayo000kat,Katsuki Matayoshi,32,NA,2,7,0,0,1,0.28
2023,Fukuoka Softbank Hawks,P,bando-000yug,Yugo Bandoh,30,NA,5,8,0,0,1,0.43
2023,Fukuoka Softbank Hawks,P,takeda000sho,Shota Takeda,29,NA,3,7,0,0,1,0.34
2023,Fukuoka Softbank Hawks,P,moinel000liv,Liván Moinelo,27,NA,1,8,0,0,1,0.33
2023,Fukuoka Softbank Hawks,P,ishika000syu,Shuta Ishikawa,23,NA,3,21,0,0,1,1.04
2023,Fukuoka Softbank Hawks,P,kayama000shi,Shinya Kayama,23,NA,1,4,0,0,1,0.22
2023,Fukuoka Softbank Hawks,P,wada--001tsu,Tsuyoshi Wada,21,NA,3,14,1,2,0.944,0.81
2023,Fukuoka Softbank Hawks,P,arihar000koh,Kohei Arihara,17,NA,8,18,0,0,1,1.53
2023,Fukuoka Softbank Hawks,P,higash001nao,Nao Higashihama,17,NA,5,18,1,0,0.958,1.35
2023,Fukuoka Softbank Hawks,P,ohzeki000tom,Tomohisa Ohzeki,17,NA,5,14,0,0,1,1.12
2023,Fukuoka Softbank Hawks,P,stewar004car,Carter Stewart,14,NA,5,8,1,0,0.929,0.93
2023,Fukuoka Softbank Hawks,P,ogata-000shu,Shuto Ogata,12,NA,0,3,1,0,0.75,0.25
2023,Fukuoka Softbank Hawks,P,shiino010ara,Arata Shiino,11,NA,0,1,0,0,1,0.09
2023,Fukuoka Softbank Hawks,P,furuka000yur,Yuri Furukawa,9,NA,0,4,0,0,1,0.44
2023,Fukuoka Softbank Hawks,P,kasaya000shu,Shunsuke Kasaya,8,NA,0,0,0,0,NA,0
2023,Fukuoka Softbank Hawks,P,mori--000yui,Yuito Mori,6,NA,0,7,0,0,1,1.17
2023,Fukuoka Softbank Hawks,P,gunkel000joe,Joe Gunkel,5,NA,0,4,0,0,1,0.8
2023,Fukuoka Softbank Hawks,P,takaha000rei,Rei Takahashi,5,NA,0,1,0,0,1,0.2
2023,Fukuoka Softbank Hawks,P,izumi-000kei,Keisuke Izumi,3,NA,0,0,0,0,NA,0
2023,Fukuoka Softbank Hawks,P,matsum001har,Haru Matsumoto,3,NA,0,0,0,0,NA,0
2023,Fukuoka Softbank Hawks,P,hernan002dar,Darwinzon Hernández,1,NA,0,0,0,0,NA,0
