Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2023,Hokkaido Nippon Ham Fighters,OF,matsum000go-,Go Matsumoto,122,NA,254,6,1,0,0.996,2.13
2023,Hokkaido Nippon Ham Fighters,OF,mannam000chu,Chusei Mannami,117,NA,226,5,4,2,0.983,1.97
2023,Hokkaido Nippon Ham Fighters,OF,egoshi000tai,Taiga Egoshi,88,NA,137,4,1,0,0.993,1.6
2023,Hokkaido Nippon Ham Fighters,OF,isobat000ryo,Ryota Isobata,63,NA,136,4,2,1,0.986,2.22
2023,Hokkaido Nippon Ham Fighters,OF,yazawa000kot,Kota Yazawa,32,NA,58,2,0,0,1,1.88
2023,Hokkaido Nippon Ham Fighters,OF,hosoka000ryo,Ryohei Hosokawa,22,NA,33,2,1,0,0.972,1.59
2023,Hokkaido Nippon Ham Fighters,OF,nomura000yuk,Yuki Nomura,21,NA,29,1,0,0,1,1.43
2023,Hokkaido Nippon Ham Fighters,OF,imagaw000yum,Yuma Imagawa,19,NA,25,1,0,0,1,1.37
2023,Hokkaido Nippon Ham Fighters,OF,alcant003ari,Arismendy Alcántara,17,NA,29,1,0,1,1,1.76
2023,Hokkaido Nippon Ham Fighters,OF,asama-000dai,Daiki Asama,10,NA,17,0,0,0,1,1.7
2023,Hokkaido Nippon Ham Fighters,OF,gunji-000yuy,Yuya Gunji,5,NA,4,0,0,0,1,0.8
2023,Hokkaido Nippon Ham Fighters,OF,tamiya000yua,Yua Tamiya,3,NA,2,0,0,0,1,0.67
2023,Hokkaido Nippon Ham Fighters,OF,kimura001fum,Fumikazu Kimura,1,NA,0,0,0,0,NA,0
2023,Hokkaido Nippon Ham Fighters,OF,wang--000po-,Po Jung Wang,1,NA,0,0,0,0,NA,0
2023,Hokkaido Nippon Ham Fighters,OF,yachi-000ryo,Ryota Yachi,1,NA,0,0,0,0,NA,0
