Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2023,Hokkaido Nippon Ham Fighters,P,ikeda-000tak,Takahide Ikeda,51,NA,7,3,0,0,1,0.2
2023,Hokkaido Nippon Ham Fighters,P,kawano000ryu,Ryusei Kawano,50,NA,3,9,2,2,0.857,0.24
2023,Hokkaido Nippon Ham Fighters,P,tamai-000tai,Taisho Tamai,50,NA,4,7,0,2,1,0.22
2023,Hokkaido Nippon Ham Fighters,P,tanaka000sei,Seigi Tanaka,47,NA,5,4,1,0,0.9,0.19
2023,Hokkaido Nippon Ham Fighters,P,rodrig001bry,Bryan Rodriguez,37,NA,0,6,0,2,1,0.16
2023,Hokkaido Nippon Ham Fighters,P,miyani001nao,Naoki Miyanishi,31,NA,0,5,0,0,1,0.16
2023,Hokkaido Nippon Ham Fighters,P,fukuda000sug,Suguru Fukuda,29,NA,0,3,1,0,0.75,0.1
2023,Hokkaido Nippon Ham Fighters,P,yamamo004tak,Takumi Yamamoto,26,NA,1,7,0,1,1,0.31
2023,Hokkaido Nippon Ham Fighters,P,itoh--002hir,Hiromi Itoh,24,NA,10,34,1,2,0.978,1.83
2023,Hokkaido Nippon Ham Fighters,P,kato--007tak,Takayuki Katoh,24,NA,9,26,1,1,0.972,1.46
2023,Hokkaido Nippon Ham Fighters,P,sugiur000tos,Toshihiro Sugiura,24,NA,0,6,1,1,0.857,0.25
2023,Hokkaido Nippon Ham Fighters,P,suzuki003ken,Kenya Suzuki,24,NA,3,11,3,2,0.824,0.58
2023,Hokkaido Nippon Ham Fighters,P,uwasaw000nao,Naoyuki Uwasawa,24,NA,14,24,3,1,0.927,1.58
2023,Hokkaido Nippon Ham Fighters,P,uehara000ken,Kenta Uehara,19,NA,10,19,0,2,1,1.53
2023,Hokkaido Nippon Ham Fighters,P,ishika000nao,Naoya Ishikawa,16,NA,0,2,0,0,1,0.13
2023,Hokkaido Nippon Ham Fighters,P,miyauc000har,Haruki Miyauchi,15,NA,0,3,0,0,1,0.2
2023,Hokkaido Nippon Ham Fighters,P,kitaya000kok,Koki Kitayama,14,NA,2,8,0,0,1,0.71
2023,Hokkaido Nippon Ham Fighters,P,kitaur000ryu,Ryuji Kitaura,12,NA,1,0,0,0,1,0.08
2023,Hokkaido Nippon Ham Fighters,P,menez-000con,Conner Menez,12,NA,1,6,1,0,0.875,0.58
2023,Hokkaido Nippon Ham Fighters,P,ponce-000cod,Cody Ponce,10,NA,2,7,0,0,1,0.9
2023,Hokkaido Nippon Ham Fighters,P,hasega001tak,Takehiro Hasegawa,9,NA,2,1,0,0,1,0.33
2023,Hokkaido Nippon Ham Fighters,P,marvel000jam,James Marvel,8,NA,1,2,0,0,1,0.38
2023,Hokkaido Nippon Ham Fighters,P,hori--000miz,Mizuki Hori,5,NA,1,1,0,0,1,0.4
2023,Hokkaido Nippon Ham Fighters,P,iguchi000kaz,Kazutomo Iguchi,5,NA,0,0,0,0,NA,0
2023,Hokkaido Nippon Ham Fighters,P,nabata000tsu,Tsubasa Nabatame,5,NA,2,2,0,1,1,0.8
2023,Hokkaido Nippon Ham Fighters,P,nemoto000har,Haruka Nemoto,5,NA,0,2,0,0,1,0.4
2023,Hokkaido Nippon Ham Fighters,P,kanemu000sho,Shoma Kanemura,4,NA,1,4,0,1,1,1.25
2023,Hokkaido Nippon Ham Fighters,P,saito-000kok,Kohki Saitoh,4,NA,0,3,0,0,1,0.75
2023,Hokkaido Nippon Ham Fighters,P,tateno000kaz,Kazuaki Tateno,4,NA,0,0,0,0,NA,0
2023,Hokkaido Nippon Ham Fighters,P,yoshid000kos,Kosei Yoshida,3,NA,0,2,0,0,1,0.67
2023,Hokkaido Nippon Ham Fighters,P,tanaka000eit,Eito Tanaka,2,NA,0,3,0,0,1,1.5
2023,Hokkaido Nippon Ham Fighters,P,yazawa000kot,Kota Yazawa,2,NA,1,1,0,0,1,1
