Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2023,Saitama Seibu Lions,P,hirai-000kat,Katsunori Hirai,54,NA,3,14,0,1,1,0.31
2023,Saitama Seibu Lions,P,sato--001shu,Shunsuke Sato,47,NA,0,4,2,1,0.667,0.09
2023,Saitama Seibu Lions,P,masuda000tat,Tatsushi Masuda,40,NA,3,3,0,0,1,0.15
2023,Saitama Seibu Lions,P,aoyama000min,Minato Aoyama,39,NA,3,3,0,0,1,0.15
2023,Saitama Seibu Lions,P,tinoco000jes,Jesús Tinoco,38,NA,1,3,0,0,1,0.11
2023,Saitama Seibu Lions,P,moriwa000ryo,Ryosuke Moriwaki,31,NA,1,5,1,0,0.857,0.19
2023,Saitama Seibu Lions,P,takaha000rod,Bo Takahashi,28,NA,1,2,0,0,1,0.11
2023,Saitama Seibu Lions,P,honda-000kei,Keisuke Honda,25,NA,0,5,0,0,1,0.2
2023,Saitama Seibu Lions,P,tamura000ich,Ichiro Tamura,24,NA,1,4,0,0,1,0.21
2023,Saitama Seibu Lions,P,mizuka001yos,Yoshinobu Mizukami,23,NA,1,3,0,0,1,0.17
2023,Saitama Seibu Lions,P,taira-000kai,Kaima Taira,23,NA,5,18,2,1,0.92,1
2023,Saitama Seibu Lions,P,takaha000kon,Kona Takahashi,23,NA,12,24,1,6,0.973,1.57
2023,Saitama Seibu Lions,P,sumida000chi,Chihiro Sumida,22,NA,8,12,1,1,0.952,0.91
2023,Saitama Seibu Lions,P,sasaki003tak,Takeru Sasaki,21,NA,1,10,0,0,1,0.52
2023,Saitama Seibu Lions,P,matsum000wat,Wataru Matsumoto,20,NA,2,12,1,1,0.933,0.7
2023,Saitama Seibu Lions,P,imai--000tat,Tatsuya Imai,19,NA,3,16,1,1,0.95,1
2023,Saitama Seibu Lions,P,mameda000tai,Taishi Mameda,16,NA,0,3,0,0,1,0.19
2023,Saitama Seibu Lions,P,yoza--000kai,Kaito Yoza,15,NA,9,16,0,1,1,1.67
2023,Saitama Seibu Lions,P,kriske000bro,Brooks Kriske,14,NA,0,0,0,0,NA,0
2023,Saitama Seibu Lions,P,enns--000die,Dietrich Enns,12,NA,2,14,3,0,0.842,1.33
2023,Saitama Seibu Lions,P,omagar000ren,Ren Omagari,10,NA,0,1,0,0,1,0.1
2023,Saitama Seibu Lions,P,kumon-000kat,Katsuhiko Kumon,7,NA,0,0,0,0,NA,0
2023,Saitama Seibu Lions,P,cho---000yak,Chang Yi,5,NA,0,0,0,0,NA,0
2023,Saitama Seibu Lions,P,miyaga000tet,Tetsu Miyagawa,4,NA,2,2,0,1,1,1
2023,Saitama Seibu Lions,P,watana001yut,Yutaro Watanabe,2,NA,0,0,0,0,NA,0
