Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2023,Yakult Swallows,P,kizawa000nao,Naofumi Kizawa,56,NA,1,9,1,0,0.909,0.18
2023,Yakult Swallows,P,shimiz001nob,Noboru Shimizu,56,NA,2,8,1,0,0.909,0.18
2023,Yakult Swallows,P,ishiya000tai,Taichi Ishiyama,50,NA,0,9,2,0,0.818,0.18
2023,Yakult Swallows,P,taguch000kaz,Kazuto Taguchi,50,NA,1,10,0,1,1,0.22
2023,Yakult Swallows,P,hoshi-000tom,Tomoya Hoshi,47,NA,4,4,0,1,1,0.17
2023,Yakult Swallows,P,ohnish002hir,Hiroki Ohnishi,46,NA,0,7,0,0,1,0.15
2023,Yakult Swallows,P,yamamo000dai,Daiki Yamamoto,42,NA,2,5,0,0,1,0.17
2023,Yakult Swallows,P,kozawa000rei,Reiji Kozawa,29,NA,0,10,0,2,1,0.34
2023,Yakult Swallows,P,konno-000ryu,Ryuta Konno,26,NA,2,4,0,0,1,0.23
2023,Yakult Swallows,P,ogawa-001yas,Yasuhiro Ogawa,23,NA,14,13,1,0,0.964,1.17
2023,Yakult Swallows,P,sneed-000cy-,Cy Sneed,23,NA,7,17,3,1,0.889,1.04
2023,Yakult Swallows,P,maruya000sho,Shota Maruyama,22,NA,1,8,0,1,1,0.41
2023,Yakult Swallows,P,takaha000kei,Keiji Takahashi,20,NA,3,13,1,4,0.941,0.8
2023,Yakult Swallows,P,peters000dil,Dillon Peters,18,NA,5,24,0,1,1,1.61
2023,Yakult Swallows,P,takana000hir,Hirotoshi Takanashi,15,NA,0,5,0,1,1,0.33
2023,Yakult Swallows,P,ishika001mas,Masanori Ishikawa,13,NA,1,9,1,0,0.909,0.77
2023,Yakult Swallows,P,sakagu000kos,Kousuke Sakaguchi,13,NA,0,3,1,0,0.75,0.23
2023,Yakult Swallows,P,yoshim000koj,Kojiro Yoshimura,12,NA,2,8,0,0,1,0.83
2023,Yakult Swallows,P,onaka-000yuy,Yuya Onaka,11,NA,0,3,0,0,1,0.27
2023,Yakult Swallows,P,rodrig004elv,Elvin Rodríguez,7,NA,0,6,1,0,0.857,0.86
2023,Yakult Swallows,P,kubo--000tak,Takuma Kubo,5,NA,0,1,0,0,1,0.2
2023,Yakult Swallows,P,umeno-000yug,Yugo Umeno,5,NA,0,2,0,0,1,0.4
2023,Yakult Swallows,P,yamano000tai,Taichi Yamano,5,NA,0,6,0,0,1,1.2
2023,Yakult Swallows,P,ichika000yut,Yuta Ichikawa,4,NA,1,3,2,0,0.667,1
2023,Yakult Swallows,P,espina000ray,Raynel Espinal,3,NA,0,1,0,0,1,0.33
2023,Yakult Swallows,P,narita000kak,Kakeru Narita,3,NA,1,0,0,0,1,0.33
2023,Yakult Swallows,P,hasega001hir,Hiroki Hasegawa,1,NA,0,0,0,0,NA,0
2023,Yakult Swallows,P,kanaku000yut,Yuto Kanakubo,1,NA,0,1,0,0,1,1
