Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1950,Tokyu Flyers,hamada000hir,Hiroshi Hamada?,23,0,5,0,8,12,7,3,1,0,NA,54,79,54,48,8,24,NA,14,1,0,0,263,1.907,13.2,1.3,4,2.3,0.58
1950,Tokyu Flyers,itoh--000mak,Makizo Ito*,19,4,6,0.4,7.03,21,15,0,1,0,NA,73,81,65,57,9,48,NA,23,3,0,1,351,1.767,10,1.1,5.9,2.8,0.48
1950,Tokyu Flyers,kimura000tom,Tomio Kimura,18,0,0,NA,37.8,2,0,0,0,0,NA,1.2,5,11,7,0,10,NA,1,0,0,1,20,9,27,0,54,5.4,0.1
1950,Tokyu Flyers,kubode000aki,Akira Kubodera*,20,0,0,NA,0,1,1,0,0,0,NA,3,4,1,0,0,2,NA,1,0,0,0,14,2,12,0,6,3,0.5
1950,Tokyu Flyers,kuwana000shi,Shigeharu Kuwana,28,5,11,0.313,5.4,33,10,16,3,0,NA,113.1,142,85,68,14,33,NA,39,7,1,1,515,1.544,11.3,1.1,2.6,3.1,1.18
1950,Tokyu Flyers,shiose000mor,Morimichi Shiose,19,0,0,NA,13.5,1,0,0,0,0,NA,1.1,2,2,2,0,5,NA,1,0,1,0,11,5.25,13.5,0,33.8,6.8,0.2
1950,Tokyu Flyers,shirak000gii,Giichiro Shiraki,30,14,13,0.519,3.38,37,31,5,23,2,NA,264,281,121,99,26,35,NA,82,2,0,0,1097,1.197,9.6,0.9,1.2,2.8,2.34
1950,Tokyu Flyers,tarui-000kat,Seiichi Tarui,21,5,7,0.417,4.8,27,14,7,4,0,NA,120,142,78,64,12,32,NA,37,3,1,0,533,1.45,10.7,0.9,2.4,2.8,1.16
1950,Tokyu Flyers,teraka000sho,Shoji Terakawa,20,0,1,0,7.13,6,1,5,0,0,NA,24,28,19,19,4,17,NA,14,0,1,1,111,1.875,10.5,1.5,6.4,5.3,0.82
1950,Tokyu Flyers,tsunem000shi,Shigeru Tsunemi,27,0,2,0,6.38,7,3,4,0,0,NA,24,29,21,17,6,6,NA,3,0,0,0,104,1.458,10.9,2.3,2.3,1.1,0.5
1950,Tokyu Flyers,tsuta-000fum,Fumiya Tsuta,26,0,1,0,11.7,5,2,2,0,0,NA,10,21,14,13,2,8,NA,3,0,0,0,57,2.9,18.9,1.8,7.2,2.7,0.38
1950,Tokyu Flyers,yasui-000koi,Koichi Yasui,28,0,0,NA,9.53,1,0,1,0,0,NA,5.2,12,7,6,1,3,NA,3,0,0,0,28,2.647,19.1,1.6,4.8,4.8,1
1950,Tokyu Flyers,yoneka000yas,Yasuo Yonekawa,22,23,23,0.5,3.24,58,36,18,27,2,NA,363.2,349,182,131,27,96,NA,207,6,1,0,1546,1.224,8.6,0.7,2.4,5.1,2.16
