Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1951,Osaka Tigers,fujimu000fum,Fumio Fujimura,34,1,0,1,0,1,1,0,0,0,NA,4,0,0,0,0,1,NA,1,0,0,0,13,0.25,0,0,2.3,2.3,1
1951,Osaka Tigers,fujimu000tak,Takao Fujimura,30,16,16,0.5,2.63,49,26,16,18,3,NA,253,222,97,74,14,77,NA,74,5,3,8,1029,1.182,7.9,0.5,2.7,2.6,0.96
1951,Osaka Tigers,hoshib000kaz,Kazuo Hoshiba,27,4,6,0.4,4.54,27,9,9,2,0,NA,81.1,83,44,41,15,32,NA,14,3,0,0,350,1.414,9.2,1.7,3.5,1.5,0.44
1951,Osaka Tigers,ikeda-000yos,Yoshio Ikeda,20,1,0,1,0,4,2,2,0,0,NA,11,12,0,0,0,0,NA,1,0,0,1,45,1.091,9.8,0,0,0.8,NA
1951,Osaka Tigers,kajiok000tad,Tadayoshi Kajioka,30,13,7,0.65,3.44,35,23,9,10,1,NA,180.1,200,88,69,17,53,NA,62,6,0,2,775,1.403,10,0.8,2.6,3.1,1.17
1951,Osaka Tigers,kawa--000fum,Fumio Kawa,26,1,1,0.5,5.27,11,4,2,1,0,NA,27.1,27,17,16,1,12,NA,3,3,0,0,122,1.427,8.9,0.3,4,1,0.25
1951,Osaka Tigers,komada000kei,Keiji Komada,25,11,13,0.458,3.24,45,28,13,10,1,NA,227.2,217,106,82,14,72,NA,86,1,0,2,955,1.269,8.6,0.6,2.8,3.4,1.19
1951,Osaka Tigers,misono000tak,Takao Misono,35,0,0,NA,7.36,3,0,2,0,0,NA,7.1,12,12,6,1,1,NA,1,0,0,0,40,1.773,14.7,1.2,1.2,1.2,1
1951,Osaka Tigers,izawa-000osa,Osamu Nishimura*,19,4,3,0.571,2.37,14,9,1,3,1,NA,68.1,52,24,18,1,30,NA,19,1,0,2,274,1.2,6.8,0.1,4,2.5,0.63
1951,Osaka Tigers,takemo000kat,Katsuo Takemoto,24,0,0,NA,6.75,1,0,1,0,0,NA,2.2,4,2,2,0,1,NA,0,0,0,0,13,1.875,13.5,0,3.4,0,0
1951,Osaka Tigers,tamiya000ken,Kenjiro Tamiya*,23,0,1,0,6.1,5,1,3,0,0,NA,10.1,20,9,7,0,3,NA,0,0,1,0,54,2.226,17.4,0,2.6,0,0
1951,Osaka Tigers,uchiya000kiy,Kiyoshi Uchiyama,24,10,5,0.667,3.34,42,13,11,3,0,NA,159,153,66,59,18,43,NA,33,5,0,0,656,1.233,8.7,1,2.4,1.9,0.77
