Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1955,Daiei Stars,akiyam002tak,Takeshi Akiyama*,19,0,0,NA,2.25,5,2,3,0,0,NA,8,8,5,2,0,6,0,5,0,0,0,39,1.75,9,0,6.8,5.6,0.83
1955,Daiei Stars,hayash000gii,Giichi Hayashi,35,19,15,0.559,2.36,42,25,16,19,6,NA,278,239,89,73,10,48,4,91,6,0,3,1096,1.032,7.7,0.3,1.6,2.9,1.9
1955,Daiei Stars,hayash000hid,Hideki Hayashi,22,4,5,0.444,3.57,24,7,11,2,0,NA,80.2,79,39,32,6,21,0,42,2,0,1,338,1.24,8.8,0.7,2.3,4.7,2
1955,Daiei Stars,hayash000yos,Yoshiteru Hayashi,20,0,2,0,3.93,7,3,1,0,0,NA,18.1,19,12,8,1,6,0,9,1,0,1,82,1.364,9.3,0.5,2.9,4.4,1.5
1955,Daiei Stars,himeno000yos,Yoshiharu Himeno,31,0,0,NA,1.59,3,1,1,0,0,NA,5.2,6,2,1,0,2,0,3,1,0,2,26,1.412,9.5,0,3.2,4.8,1.5
1955,Daiei Stars,iio---000tak,Takao Iio,21,2,13,0.133,2.64,37,16,12,5,0,NA,157,139,56,46,3,52,1,83,3,0,4,640,1.217,8,0.2,3,4.8,1.6
1955,Daiei Stars,kawani000hir,Hirokazu Kawanishi,18,0,0,NA,9.64,3,0,1,0,0,NA,4.2,8,5,5,0,3,0,0,0,0,0,24,2.357,15.4,0,5.8,0,0
1955,Daiei Stars,morigu000tet,Tetsuo Moriguchi,20,3,6,0.333,2.53,34,13,10,4,0,NA,128,107,47,36,3,62,3,58,0,0,4,541,1.32,7.5,0.2,4.4,4.1,0.94
1955,Daiei Stars,ogawa-000yos,Yoshiharu Ogawa,31,11,14,0.44,3.67,36,24,8,6,1,NA,184,185,94,75,11,35,1,59,2,0,3,755,1.196,9,0.5,1.7,2.9,1.69
1955,Daiei Stars,ota---000mas,Masao Ota,21,1,1,0.5,3.05,7,5,2,0,0,NA,20.2,20,9,7,0,16,0,12,0,0,0,97,1.742,8.7,0,7,5.2,0.75
1955,Daiei Stars,otsuka001yas,Yasunori Otsuka,21,0,0,NA,0,2,0,1,0,0,NA,3,0,0,0,0,0,0,1,1,0,0,10,0,0,0,0,3,NA
1955,Daiei Stars,sakaga000ats,Atsushi Sakagami,20,4,6,0.4,1.95,13,7,4,4,1,NA,74,57,20,16,4,26,1,20,2,0,0,293,1.122,6.9,0.5,3.2,2.4,0.77
1955,Daiei Stars,takama000tos,Toshio Takamatsu,35,6,17,0.261,3.1,36,18,13,3,1,NA,148,131,72,51,4,40,1,55,1,1,6,602,1.155,8,0.2,2.4,3.3,1.38
1955,Daiei Stars,takeuc000kaz,Kazuo Takeuchi*,23,3,8,0.273,4.12,37,19,8,2,0,NA,133.1,127,69,61,10,56,0,68,3,0,1,580,1.373,8.6,0.7,3.8,4.6,1.21
1955,Daiei Stars,yabumo000kaz,Kazuo Yabumoto,24,0,0,NA,3.07,8,1,5,0,0,NA,14.2,13,5,5,1,2,0,4,0,0,0,56,1.023,8,0.6,1.2,2.5,2
