Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1956,Kintetsu Pearls,ebara-000yos,Yoshimi Ebara*,31,5,5,0.5,2.6,32,12,12,1,1,NA,93.1,84,33,27,3,40,1,49,1,0,0,390,1.329,8.1,0.3,3.9,4.7,1.23
1956,Kintetsu Pearls,haito-000mas,Masao Haido,24,1,1,0.5,6.75,18,0,11,0,0,NA,29.1,42,27,22,4,9,0,17,2,0,2,137,1.739,12.9,1.2,2.8,5.2,1.89
1956,Kintetsu Pearls,hamagu000tak,Takeshi Hamaguchi*,21,0,0,NA,7.71,1,0,0,0,0,NA,2.1,1,2,2,1,3,0,0,0,0,0,10,1.714,3.9,3.9,11.6,0,0
1956,Kintetsu Pearls,kuroda000tsu,Tsutomu Kuroda,19,6,4,0.6,2.72,40,15,10,1,0,NA,152.1,129,64,46,6,61,0,90,1,1,1,632,1.247,7.6,0.4,3.6,5.3,1.48
1956,Kintetsu Pearls,nagai-000yas,Yasuo Nagai,24,8,11,0.421,3.52,39,15,15,3,1,NA,143.1,123,65,56,8,58,0,63,4,0,8,609,1.263,7.7,0.5,3.6,4,1.09
1956,Kintetsu Pearls,nagao-000mas,Masaru Nagao,21,2,0,1,1,4,1,1,0,0,NA,9,7,1,1,0,2,0,1,0,0,0,36,1,7,0,2,1,0.5
1956,Kintetsu Pearls,okamot000kyo,Kyohei Okamoto,21,4,7,0.364,4.82,36,12,15,1,1,NA,108.1,112,69,58,8,30,0,24,9,1,2,473,1.311,9.3,0.7,2.5,2,0.8
1956,Kintetsu Pearls,sato--000ryo,Ryoichi Sato,22,5,9,0.357,2.77,38,16,10,4,0,NA,152.2,131,54,47,8,48,0,90,0,0,0,623,1.172,7.7,0.5,2.8,5.3,1.88
1956,Kintetsu Pearls,sawafu000mit,Mitsuro Sawafuji,36,7,5,0.583,2.71,26,14,9,2,1,NA,106.1,104,38,32,5,15,0,38,3,0,2,427,1.119,8.8,0.4,1.3,3.2,2.53
1956,Kintetsu Pearls,sekine000jun,Junzo Sekine*,29,9,11,0.45,2.95,28,20,6,10,2,NA,152.1,132,64,50,6,29,1,66,2,0,0,616,1.057,7.8,0.4,1.7,3.9,2.28
1956,Kintetsu Pearls,shigem000tak,Takeo Shigemura,21,0,0,NA,0,1,0,0,0,0,NA,2,1,0,0,0,2,0,1,0,0,0,7,1.5,4.5,0,9,4.5,0.5
1956,Kintetsu Pearls,takech000fum,Fumio Takechi,29,16,16,0.5,2.43,45,30,12,16,4,NA,255.2,234,88,69,11,29,3,113,1,0,1,1015,1.029,8.2,0.4,1,4,3.9
1956,Kintetsu Pearls,tsujin000sad,Sadatoshi Tsujinaka,20,0,1,0,6.23,2,1,0,0,0,NA,8.2,8,7,6,0,5,0,4,0,0,1,38,1.5,8.3,0,5.2,4.2,0.8
1956,Kintetsu Pearls,wakasu000ter,Teruaki Wakasugi*,22,0,1,0,5.27,7,1,3,0,0,NA,13.2,14,8,8,3,3,0,2,0,0,0,58,1.244,9.2,2,2,1.3,0.67
1956,Kintetsu Pearls,yamash000nob,Noboru Yamashita,21,5,11,0.313,3.84,35,17,10,2,0,NA,126.2,123,63,54,15,33,3,73,5,0,0,528,1.232,8.7,1.1,2.3,5.2,2.21
