Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1956,Mainichi Orions,aramak000ats,Atsushi Aramaki*,30,24,16,0.6,2.12,56,20,29,11,2,NA,263,202,72,62,7,46,5,123,3,0,2,1028,0.943,6.9,0.2,1.6,4.2,2.67
1956,Mainichi Orions,daiku-000mas,Masaru Daiku,20,0,0,NA,13.5,2,0,0,0,0,NA,1.1,3,3,2,0,1,0,0,0,0,0,8,3,20.3,0,6.8,0,0
1956,Mainichi Orions,hattor000tak,Takeo Hattori,23,0,0,NA,9,2,0,0,0,0,NA,1,1,1,1,0,2,0,1,0,0,0,6,3,9,0,18,9,0.5
1956,Mainichi Orions,ikeda-000kei,Keiichi Ikeda,20,0,0,NA,0,1,0,1,0,0,NA,1,2,1,0,0,0,0,0,0,0,0,6,2,18,0,0,0,NA
1956,Mainichi Orions,itoh--000nor,Noritada Ito,19,1,1,0.5,2.52,13,4,6,1,0,NA,35.2,26,12,10,2,13,1,14,1,0,2,145,1.093,6.6,0.5,3.3,3.5,1.08
1956,Mainichi Orions,matsum000har,Haruo Matsumoto,21,0,0,NA,11.25,1,0,0,0,0,NA,4,7,7,5,0,2,0,5,0,0,0,20,2.25,15.8,0,4.5,11.3,2.5
1956,Mainichi Orions,nagahi000isa,Isao Nagahira,18,0,0,NA,1.8,2,1,0,0,0,NA,5,3,1,1,1,1,0,4,0,0,0,18,0.8,5.4,1.8,1.8,7.2,4
1956,Mainichi Orions,nakaga001tak,Takashi Nakagawa,20,7,7,0.5,3.02,44,16,7,2,2,NA,155,149,68,52,6,54,1,68,5,1,3,665,1.31,8.7,0.3,3.1,3.9,1.26
1956,Mainichi Orions,nakani000kat,Katsumi Nakanishi,21,8,11,0.421,2.09,40,27,9,5,5,NA,167.2,119,59,39,3,90,2,107,3,0,6,709,1.247,6.4,0.2,4.8,5.7,1.19
1956,Mainichi Orions,nomura002tak,Takeshi Nomura,37,1,2,0.333,3.6,14,6,5,0,0,NA,45,43,19,18,6,5,1,9,0,0,0,180,1.067,8.6,1.2,1,1.8,1.8
1956,Mainichi Orions,ono---002sho,Shoichi Ono*,22,4,1,0.8,2.75,37,16,14,0,0,NA,114.2,106,45,35,4,31,0,62,4,0,1,470,1.195,8.3,0.3,2.4,4.9,2
1956,Mainichi Orions,shimiz003hir,Hirokazu Shimizu,23,0,0,NA,4.5,5,1,1,0,0,NA,8,11,7,4,1,2,0,3,0,0,0,37,1.625,12.4,1.1,2.3,3.4,1.5
1956,Mainichi Orions,uemura000yos,Yoshinobu Uemura,21,19,5,0.792,2.01,58,21,17,6,4,NA,232.2,191,75,52,10,37,1,161,0,0,5,925,0.98,7.4,0.4,1.4,6.2,4.35
1956,Mainichi Orions,wada--000isa,Isamu Wada,22,0,0,NA,3.86,5,2,3,0,0,NA,7,3,5,3,0,6,0,5,0,0,0,29,1.286,3.9,0,7.7,6.4,0.83
1956,Mainichi Orions,wada--001isa,Isao Wada*,23,14,17,0.452,2.56,60,24,19,2,1,NA,211.1,187,70,60,13,59,1,118,2,0,2,856,1.164,8,0.6,2.5,5,2
1956,Mainichi Orions,wako--000tom,Tomoo Wako,19,0,1,0,4.05,5,1,3,0,0,NA,13.1,11,6,6,1,2,0,9,0,0,1,53,0.975,7.4,0.7,1.4,6.1,4.5
1956,Mainichi Orions,yamane001tos,Toshihide Yamane,28,6,5,0.545,1.43,33,15,11,2,0,NA,113.2,103,26,18,2,28,1,36,3,0,0,452,1.152,8.2,0.2,2.2,2.9,1.29
