Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1958,Toei Flyers,dobash000mas,Masayuki Dobashi,22,21,16,0.568,2.12,54,28,21,18,6,NA,309.2,239,97,73,18,53,6,222,6,0,3,1202,0.943,6.9,0.5,1.5,6.5,4.19
1958,Toei Flyers,fukush000iku,Ikuo Fukushima,21,0,1,0,4.05,6,1,3,0,0,NA,6.2,7,4,3,0,0,0,2,0,0,0,27,1.05,9.5,0,0,2.7,NA
1958,Toei Flyers,iio---000tak,Takao Iio,24,2,1,0.667,4.95,17,4,5,1,0,NA,40,41,26,22,4,13,0,15,2,0,0,173,1.35,9.2,0.9,2.9,3.4,1.15
1958,Toei Flyers,kanaya000kat,Katsumi Kanayama,25,7,11,0.389,2.11,36,14,12,3,0,NA,149.1,120,50,35,4,27,2,74,2,0,0,591,0.984,7.2,0.2,1.6,4.5,2.74
1958,Toei Flyers,kubota000osa,Osamu Kubota,23,0,2,0,3.7,14,5,4,0,0,NA,41.1,45,18,17,5,13,0,21,0,0,1,178,1.403,9.8,1.1,2.8,4.6,1.62
1958,Toei Flyers,makino000nob,Noboru Makino,21,4,8,0.333,2.69,20,14,4,3,1,NA,97,78,37,29,5,29,3,59,4,0,4,391,1.103,7.2,0.5,2.7,5.5,2.03
1958,Toei Flyers,nakano002tak,Takao Nakano,26,0,0,NA,5.4,3,0,3,0,0,NA,5,10,5,3,1,4,1,5,0,0,0,28,2.8,18,1.8,7.2,9,1.25
1958,Toei Flyers,nishit001wil,Bill Nishita,27,16,19,0.457,2.31,48,36,8,16,5,NA,288.2,226,91,74,12,68,2,184,4,1,4,1132,1.018,7,0.4,2.1,5.7,2.71
1958,Toei Flyers,okada-000tad,Tadahiro Okada,23,0,0,NA,0,3,0,2,0,0,NA,3,1,1,0,0,2,0,0,0,0,0,12,1,3,0,6,0,0
1958,Toei Flyers,takano001kaz,Kazuhiko Takano,18,0,0,NA,3.38,3,0,2,0,0,NA,5.1,3,2,2,1,1,0,3,0,0,0,20,0.75,5.1,1.7,1.7,5.1,3
1958,Toei Flyers,tomina000tad,Kakuro Tominaga,21,0,1,0,6.04,9,4,0,0,0,NA,22.1,28,17,15,3,9,0,4,1,0,0,102,1.657,11.3,1.2,3.6,1.6,0.44
1958,Toei Flyers,yamamo003yos,Yoshiji Yamamoto*,23,2,1,0.667,4.13,29,9,8,1,1,NA,69.2,77,36,32,3,26,1,46,1,0,1,298,1.478,9.9,0.4,3.4,5.9,1.77
1958,Toei Flyers,yana--000nob,Nobuo Yana,22,0,0,NA,0,2,0,1,0,0,NA,1.2,1,0,0,0,0,0,1,0,0,0,6,0.6,5.4,0,0,5.4,NA
1958,Toei Flyers,yoneka000yas,Yasuo Yonekawa,30,5,10,0.333,3.21,31,15,12,3,1,NA,126.1,126,58,45,7,27,2,89,4,0,0,522,1.211,9,0.5,1.9,6.3,3.3
