Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1965,Taiyo Whales,akiyam000nob,Noboru Akiyama,31,5,5,0.5,2.7,39,11,15,1,0,NA,103.1,98,34,31,8,30,3,41,2,0,1,420,1.239,8.5,0.7,2.6,3.6,1.37
1965,Taiyo Whales,ejiri-000aki,Akira Ejiri*,22,0,1,0,3.18,5,1,1,0,0,NA,11.1,10,5,4,4,3,0,6,0,0,1,48,1.147,7.9,3.2,2.4,4.8,2
1965,Taiyo Whales,hiraok000ich,Ichiro Hiraoka*,19,3,3,0.5,1.96,31,6,8,1,0,NA,69,55,23,15,3,29,1,52,2,1,1,286,1.217,7.2,0.4,3.8,6.8,1.79
1965,Taiyo Whales,inagaw000mak,Makoto Inagawa,28,11,14,0.44,2.91,55,31,11,6,2,NA,232.1,201,91,75,17,89,9,126,5,0,3,960,1.248,7.8,0.7,3.4,4.9,1.42
1965,Taiyo Whales,mine--000kun,Kuniyasu Mine,24,0,0,NA,2.7,21,0,6,0,0,NA,26.2,28,10,8,1,14,1,15,0,0,0,124,1.575,9.5,0.3,4.7,5.1,1.07
1965,Taiyo Whales,niihar000shi,Shinji Niihari,23,5,2,0.714,3.14,40,3,16,1,0,NA,77.1,64,36,27,6,23,1,40,2,0,0,317,1.125,7.4,0.7,2.7,4.7,1.74
1965,Taiyo Whales,oikawa000nob,NObushi Oikawa,21,9,10,0.474,3.16,39,27,3,3,1,NA,165.1,137,74,58,16,60,2,97,8,0,14,689,1.192,7.5,0.9,3.3,5.3,1.62
1965,Taiyo Whales,ono---002sho,Shoichi Ono*,31,9,13,0.409,3.32,37,21,6,5,1,NA,146.1,135,65,54,12,53,0,84,3,0,4,613,1.285,8.3,0.7,3.3,5.2,1.58
1965,Taiyo Whales,sasaki000kic,Yoshiro Sasaki,25,0,2,0,2.82,21,4,4,0,0,NA,44.2,29,15,14,0,20,1,28,0,0,0,177,1.097,5.8,0,4,5.6,1.4
1965,Taiyo Whales,shimad000gen,Gentaro Shimada,25,1,1,0.5,3.6,10,4,3,1,0,NA,30,27,14,12,2,9,1,18,0,1,0,123,1.2,8.1,0.6,2.7,5.4,2
1965,Taiyo Whales,suzuki007tak,Takashi Suzuki*,31,4,2,0.667,2.44,38,1,10,0,0,NA,48,43,13,13,4,20,1,32,2,0,0,196,1.313,8.1,0.8,3.8,6,1.6
1965,Taiyo Whales,takaha001shi,Shigeyuki Takahashi,20,21,17,0.553,2.4,59,30,23,11,5,NA,277.1,219,83,74,14,69,6,173,12,1,5,1099,1.038,7.1,0.5,2.2,5.6,2.51
1965,Taiyo Whales,takaya000isa,Isao Takayama,23,0,0,NA,2.78,12,1,5,0,0,NA,22.2,20,7,7,2,7,0,17,0,0,0,94,1.191,7.9,0.8,2.8,6.8,2.43
