Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1966,Sankei Atoms,taigo-000tos,Toshimitsu Daigo,22,0,0,NA,0,1,0,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA
1966,Sankei Atoms,hamagu000mas,Masanobu Hamaguchi,18,0,0,NA,4.5,1,0,0,0,0,NA,2,3,1,1,0,0,0,1,0,0,0,8,1.5,13.5,0,0,4.5,NA
1966,Sankei Atoms,hanzaw000shi,Shiro Hanzawa,21,0,0,NA,9,3,0,3,0,0,NA,4,6,4,4,2,2,0,1,0,0,0,19,2,13.5,4.5,4.5,2.3,0.5
1966,Sankei Atoms,hosoda000mas,Masahiko Hosoda,19,0,0,NA,4.26,3,0,2,0,0,NA,6.1,6,3,3,3,1,0,2,0,0,0,26,1.105,8.5,4.3,1.4,2.8,2
1966,Sankei Atoms,ishido000shi,Shiroku Ishido,25,11,11,0.5,3.17,50,26,13,11,5,NA,210.1,204,83,74,15,49,11,72,9,0,0,870,1.203,8.7,0.6,2.1,3.1,1.47
1966,Sankei Atoms,ishiok000koz,Kozo Ishioka,25,4,4,0.5,2.12,33,8,12,2,1,NA,93.1,67,31,22,10,28,1,56,1,0,0,376,1.018,6.5,1,2.7,5.4,2
1966,Sankei Atoms,morita002yos,Yoshimi Moritaki,28,0,3,0,6.13,20,3,7,0,0,NA,39.2,47,28,27,3,7,0,12,3,0,1,171,1.361,10.7,0.7,1.6,2.7,1.71
1966,Sankei Atoms,murata000gen,Genichi Murata,28,11,12,0.478,3.14,39,28,8,8,1,NA,189.1,179,74,66,19,33,7,74,2,0,0,770,1.12,8.5,0.9,1.6,3.5,2.24
1966,Sankei Atoms,aizawa000mas,Masaru Ogata,26,0,0,NA,5.23,17,0,5,0,0,NA,31,41,18,18,6,7,0,15,1,1,0,138,1.548,11.9,1.7,2,4.4,2.14
1966,Sankei Atoms,sato--000sus,Susumu Sato,23,12,18,0.4,2.6,39,33,5,9,2,NA,231.2,196,73,67,10,56,8,94,4,1,0,938,1.088,7.6,0.4,2.2,3.7,1.68
1966,Sankei Atoms,shibut000sei,Seiji Shibutani*,27,4,17,0.19,3.24,32,27,2,4,2,NA,150,125,62,54,16,65,9,77,4,0,1,630,1.267,7.5,1,3.9,4.6,1.18
1966,Sankei Atoms,suzuki000kiy,Kiyotake Suzuki,25,8,9,0.471,2.32,62,1,35,0,0,NA,170.1,121,48,44,18,57,15,105,5,0,1,680,1.045,6.4,1,3,5.5,1.84
1966,Sankei Atoms,tatsum000haj,Hajimu Tatsumi*,30,2,4,0.333,4.48,38,9,5,1,1,NA,74.1,75,40,37,8,31,3,37,1,0,1,325,1.426,9.1,1,3.8,4.5,1.19
1966,Sankei Atoms,tomina000tad,Kakuro Tominaga,29,0,0,NA,8.31,5,0,2,0,0,NA,4.1,7,6,4,0,3,0,2,1,0,0,23,2.308,14.5,0,6.2,4.2,0.67
1966,Sankei Atoms,watana000kaz,Kazushi Watanabe*,25,0,0,NA,81,3,0,0,0,0,NA,0.1,2,4,3,1,3,0,1,0,0,0,6,15,54,27,81,27,0.33
