Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1971,Yomiuri Giants,fukush000hir,Hiroaki Fukushi,20,0,0,NA,4.91,2,1,1,0,0,NA,7.1,6,4,4,1,3,0,6,0,0,1,29,1.227,7.4,1.2,3.7,7.4,2
1971,Yomiuri Giants,horiuc000tsu,Tsuneo Horiuchi,23,14,8,0.636,3.11,40,33,4,14,3,NA,226,183,83,78,18,82,5,155,6,0,7,924,1.173,7.3,0.7,3.3,6.2,1.89
1971,Yomiuri Giants,jonouc000kun,Kunio Jonouchi,31,1,0,1,5,5,0,4,0,0,NA,9,12,6,5,1,1,0,0,1,0,0,41,1.444,12,1,1,0,0
1971,Yomiuri Giants,kosaka000tos,Toshihiko Kosaka*,23,2,2,0.5,5.5,17,2,6,0,0,NA,36,26,22,22,6,19,0,34,1,0,1,154,1.25,6.5,1.5,4.8,8.5,1.79
1971,Yomiuri Giants,kurata000mak,Makoto Kurata,25,5,4,0.556,2.51,44,2,22,0,0,NA,89.2,75,27,25,7,36,3,77,1,0,1,368,1.238,7.5,0.7,3.6,7.7,2.14
1971,Yomiuri Giants,niura-000his,Hisao Niura*,20,4,3,0.571,2.01,19,10,5,2,1,NA,58.1,43,17,13,4,26,1,43,2,0,2,239,1.183,6.6,0.6,4,6.6,1.65
1971,Yomiuri Giants,sekimo000mit,Mitsuhiro Sekimoto,22,10,11,0.476,2.15,35,19,8,3,1,NA,146.2,118,49,35,6,39,3,68,3,0,1,587,1.07,7.2,0.4,2.4,4.2,1.74
1971,Yomiuri Giants,shiman000osa,Osamu Shimano,21,1,0,1,4.5,1,0,0,0,0,NA,4,5,2,2,0,1,0,1,0,0,1,18,1.5,11.3,0,2.3,2.3,1
1971,Yomiuri Giants,sugawa000kat,Katsuya Sugawara,26,4,0,1,2.52,25,7,4,2,1,NA,78.2,66,30,22,4,35,1,57,6,1,4,334,1.284,7.6,0.5,4,6.5,1.63
1971,Yomiuri Giants,takaha004kaz,Kazumi Takahashi*,25,14,7,0.667,2.94,41,27,9,13,1,NA,226.2,164,80,74,28,72,4,151,6,1,4,904,1.041,6.5,1.1,2.9,6,2.1
1971,Yomiuri Giants,watana003hid,Hidetake Watanabe,29,10,12,0.455,3.26,38,27,5,9,2,NA,207,178,87,75,21,30,6,120,13,0,1,830,1.005,7.7,0.9,1.3,5.2,4
1971,Yomiuri Giants,yamauc000shi,Shinichi Yamauchi,23,5,5,0.5,3.01,33,2,19,0,0,NA,68.2,61,27,23,7,25,4,43,1,0,2,285,1.252,8,0.9,3.3,5.6,1.72
