Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1974,Chunichi Dragons,donoue000ter,Terashi Donoue,23,0,0,NA,6,2,0,1,0,0,0,3,4,2,2,1,0,0,0,1,0,0,13,1.333,12,3,0,0,NA
1974,Chunichi Dragons,fujisa000tet,Tetsuya Fujisawa*,20,0,0,NA,40.5,1,0,0,0,0,0,0.2,2,3,3,2,1,0,1,0,0,0,5,4.5,27,27,13.5,13.5,1
1974,Chunichi Dragons,hoshin000hid,Hidetaka Hoshino*,24,4,4,0.5,4.63,37,7,8,1,1,0,70,77,39,36,3,22,2,41,3,0,3,305,1.414,9.9,0.4,2.8,5.3,1.86
1974,Chunichi Dragons,hoshin000sen,Senichi Hoshino,27,15,9,0.625,2.87,49,17,28,7,1,10,188,149,67,60,19,50,8,137,7,0,3,758,1.059,7.1,0.9,2.4,6.6,2.74
1974,Chunichi Dragons,inaba-000mit,Mitsuo Inaba,25,4,5,0.444,3.93,30,17,3,3,0,0,110,97,54,48,15,41,3,75,5,0,3,459,1.255,7.9,1.2,3.4,6.1,1.83
1974,Chunichi Dragons,itoh--000his,Hisatoshi Ito*,30,0,1,0,7.64,9,2,3,0,0,0,17.2,27,16,15,1,7,1,10,0,0,0,85,1.925,13.8,0.5,3.6,5.1,1.43
1974,Chunichi Dragons,kanai-000mas,Masayoshi Kanai,22,0,1,0,10.8,1,1,0,0,0,0,3.1,3,4,4,0,3,0,1,0,0,0,16,1.8,8.1,0,8.1,2.7,0.33
1974,Chunichi Dragons,matsum002yuk,Yukitsura Matsumoto*,27,20,9,0.69,3.12,40,37,3,11,3,0,236.1,232,92,82,29,38,4,89,11,0,3,965,1.142,8.8,1.1,1.4,3.4,2.34
1974,Chunichi Dragons,misawa000jun,Jun Misawa,21,11,9,0.55,3.45,45,27,4,7,3,0,200.2,169,97,77,30,55,5,90,12,1,1,822,1.116,7.6,1.3,2.5,4,1.64
1974,Chunichi Dragons,mizuta000his,Hisanobu Mizutani,33,1,1,0.5,4.09,33,1,8,0,0,0,61.2,57,31,28,8,18,3,41,1,0,0,257,1.216,8.3,1.2,2.6,6,2.28
1974,Chunichi Dragons,muraka000yos,Yoshinori Murakami*,24,1,1,0.5,4.7,6,1,2,0,0,0,15.1,19,8,8,3,7,0,3,0,0,0,69,1.696,11.2,1.8,4.1,1.8,0.43
1974,Chunichi Dragons,okuda-000nao,Naoya Okuda,21,0,0,NA,9,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,4,2,18,0,0,0,NA
1974,Chunichi Dragons,sato--001mas,Masao Sato*,23,0,0,NA,13.5,3,0,1,0,0,0,2.2,6,4,4,0,1,0,2,0,0,0,14,2.625,20.3,0,3.4,6.8,2
1974,Chunichi Dragons,shibuy000yuk,Yukiharu Shibuya,27,5,5,0.5,4.49,40,17,8,2,1,0,122.1,128,63,61,19,42,6,54,12,0,0,534,1.39,9.4,1.4,3.1,4,1.29
1974,Chunichi Dragons,suzuki004tak,Takamasa Suzuki,19,4,2,0.667,3.52,35,3,15,0,0,2,64,53,26,25,10,14,3,53,0,0,2,253,1.047,7.5,1.4,2,7.5,3.79
1974,Chunichi Dragons,takeda002mas,Masafumi Takeda*,23,5,2,0.714,3.24,29,0,8,0,0,3,41.2,29,17,15,6,22,0,21,2,0,1,167,1.224,6.3,1.3,4.8,4.5,0.95
1974,Chunichi Dragons,watabe000tsu,Tsukasa Watabe,24,0,0,NA,7.31,13,0,7,0,0,0,16,22,13,13,3,5,1,15,0,0,1,72,1.688,12.4,1.7,2.8,8.4,3
