Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1974,Taiheiyo Club Lions,hamaur001tor,Toru Hamaura,21,4,2,0.667,3.42,20,7,9,1,0,0,84.1,61,35,32,9,42,1,63,4,1,2,352,1.221,6.5,1,4.5,6.7,1.5
1974,Taiheiyo Club Lions,higash000osa,Osamu Higashio,24,6,9,0.4,3.44,27,19,7,7,1,0,123,116,55,47,12,46,2,58,7,0,1,513,1.317,8.5,0.9,3.4,4.2,1.26
1974,Taiheiyo Club Lions,ishii-000shi,Shigeo Ishii,35,8,11,0.421,4.22,33,19,13,5,0,1,151.1,156,76,71,19,54,4,54,1,3,2,642,1.388,9.3,1.1,3.2,3.2,1
1974,Taiheiyo Club Lions,kato--000haj,Hajime Kato,24,12,12,0.5,2.95,34,26,4,7,3,0,189,144,67,62,18,98,4,122,7,0,2,787,1.28,6.9,0.9,4.7,5.8,1.24
1974,Taiheiyo Club Lions,kawaha001aki,Akira Kawahara,25,5,10,0.333,3.61,30,20,4,4,1,1,142,141,61,57,14,51,0,80,0,2,5,590,1.352,8.9,0.9,3.2,5.1,1.57
1974,Taiheiyo Club Lions,maeda-000kos,Kosuke Maeda*,29,0,0,NA,22.5,4,0,0,0,0,0,2,2,5,5,1,5,0,0,0,0,0,12,3.5,9,4.5,22.5,0,0
1974,Taiheiyo Club Lions,miura-000kiy,Kiyohiro Miura,35,5,6,0.455,3.14,21,17,3,4,1,0,103.1,103,42,36,8,31,0,37,4,1,0,426,1.297,9,0.7,2.7,3.2,1.19
1974,Taiheiyo Club Lions,miwa--000sat,Satoru Miwa,28,1,2,0.333,2.48,26,1,8,0,0,0,65.1,47,20,18,1,19,0,32,2,0,0,259,1.01,6.5,0.1,2.6,4.4,1.68
1974,Taiheiyo Club Lions,nagai-000tam,Tamotsu Nagai*,20,0,0,NA,8.18,14,0,5,0,0,0,11,13,10,10,2,6,0,9,1,0,0,51,1.727,10.6,1.6,4.9,7.4,1.5
1974,Taiheiyo Club Lions,shibai000hir,Hiroaki Shibaike,28,0,0,NA,7.36,4,0,2,0,0,0,3.2,7,3,3,1,1,0,2,1,0,0,19,2.182,17.2,2.5,2.5,4.9,2
1974,Taiheiyo Club Lions,tanaka003aki,Akira Tanaka,29,12,5,0.706,2.61,50,6,32,3,2,9,131,122,41,38,10,26,9,42,5,0,0,531,1.13,8.4,0.7,1.8,2.9,1.62
1974,Taiheiyo Club Lions,yanagi000yut,Yutaka Yanagida,22,6,7,0.462,3.99,41,15,12,0,0,2,140,140,67,62,15,27,2,61,6,2,0,582,1.193,9,1,1.7,3.9,2.26
