Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1974,Yakult Swallows,aida--000ter,Teruo Aida,27,0,2,0,3.28,35,5,9,0,0,1,68.2,67,27,25,10,24,2,31,2,0,0,283,1.325,8.8,1.3,3.1,4.1,1.29
1974,Yakult Swallows,asano-000kei,Keishi Asano,25,12,15,0.444,2.39,41,27,10,19,3,5,256,202,78,68,23,50,4,148,6,1,2,990,0.984,7.1,0.8,1.8,5.2,2.96
1974,Yakult Swallows,enomot000nao,Naoki Enomoto*,25,0,2,0,6.46,12,5,4,0,0,0,23.2,31,19,17,4,11,1,10,0,0,0,108,1.775,11.8,1.5,4.2,3.8,0.91
1974,Yakult Swallows,ihara-000shi,Shinichiro Ihara,22,2,0,1,2.87,5,1,2,0,0,0,15.2,12,5,5,1,4,0,10,0,0,0,61,1.021,6.9,0.6,2.3,5.7,2.5
1974,Yakult Swallows,ishiok000koz,Kozo Ishioka,33,6,5,0.545,2.05,33,1,24,0,0,8,70.1,38,19,16,7,25,1,48,1,0,0,265,0.896,4.9,0.9,3.2,6.1,1.92
1974,Yakult Swallows,kobaya000kun,Kunio Kobayashi*,23,2,3,0.4,4.77,21,9,1,1,0,0,71.2,82,39,38,10,24,2,31,2,1,1,313,1.479,10.3,1.3,3,3.9,1.29
1974,Yakult Swallows,matsuo000hir,Hiromu Matsuoka,26,17,15,0.531,2.8,39,30,6,15,4,1,257.1,202,96,80,27,95,4,168,7,1,2,1042,1.154,7.1,0.9,3.3,5.9,1.77
1974,Yakult Swallows,nishii000tet,Tetsuo Nishii,22,11,6,0.647,3.18,35,25,7,3,0,1,153,131,63,54,16,53,2,72,1,0,0,626,1.203,7.7,0.9,3.1,4.2,1.36
1974,Yakult Swallows,sugiya001shi,Shigeo Sugiyama*,24,0,0,NA,NA,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,0
1974,Yakult Swallows,sunoch000mas,Masao Sunouchi,29,0,2,0,4.82,16,2,10,0,0,0,28,26,16,15,6,10,1,20,0,0,0,115,1.286,8.4,1.9,3.2,6.4,2
1974,Yakult Swallows,watana001tak,Takahiro Watanabe,27,1,8,0.111,5.06,21,10,5,0,0,0,69.1,74,44,39,18,16,1,38,1,1,0,289,1.298,9.6,2.3,2.1,4.9,2.38
1974,Yakult Swallows,yasuda000tak,Takeshi Yasuda*,27,9,5,0.643,3.18,28,15,7,4,0,0,130.1,143,50,46,6,17,5,63,4,0,0,547,1.228,9.9,0.4,1.2,4.4,3.71
1974,Yakult Swallows,yasuki000sho,Shoji Yasuki*,25,0,0,NA,1.13,4,0,3,0,0,0,8,8,1,1,0,3,0,7,0,0,0,32,1.375,9,0,3.4,7.9,2.33
