Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1976,Hankyu Braves,adachi000mit,Mitsuhiro Adachi,36,17,8,0.68,2.54,31,29,2,14,2,1,212.2,207,80,60,18,27,3,67,14,0,2,868,1.1,8.8,0.8,1.1,2.8,2.48
1976,Hankyu Braves,arai--000yos,Yoshio Arai,25,1,1,0.5,8.28,7,1,2,1,0,0,25,30,26,23,8,11,0,7,0,0,0,114,1.64,10.8,2.9,4,2.5,0.64
1976,Hankyu Braves,imai--000yut,Yutaro Imai,26,3,3,0.5,4.59,16,10,5,2,1,0,64.2,66,38,33,5,27,1,34,2,0,1,276,1.438,9.2,0.7,3.8,4.7,1.26
1976,Hankyu Braves,miyosh000yuk,Yukio Miyoshi,30,0,0,NA,3.63,14,0,9,0,0,2,52,49,23,21,6,23,0,23,3,0,0,221,1.385,8.5,1,4,4,1
1976,Hankyu Braves,oishi-000yat,Yataro Oishi,32,4,3,0.571,3.82,13,8,2,4,2,0,61.1,68,28,26,8,22,0,15,2,0,2,269,1.467,10,1.2,3.2,2.2,0.68
1976,Hankyu Braves,shirai000shi,Shizuo Shiraishi*,32,4,5,0.444,4.39,21,8,4,2,0,2,69.2,65,40,34,9,42,2,30,3,0,0,308,1.536,8.4,1.2,5.4,3.9,0.71
1976,Hankyu Braves,takemu000kaz,Kazuyoshi Takemura,26,0,3,0,4.5,14,5,6,2,0,0,54,72,32,27,4,15,0,20,2,0,0,242,1.611,12,0.7,2.5,3.3,1.33
1976,Hankyu Braves,toda--000yos,Yoshinori Toda,30,12,5,0.706,3.9,28,23,2,7,3,1,152.1,139,68,66,19,60,2,76,2,0,0,639,1.306,8.2,1.1,3.5,4.5,1.27
1976,Hankyu Braves,yamada000his,Hisashi Yamada,27,26,7,0.788,2.39,39,27,12,23,5,5,259.2,217,74,69,20,48,1,143,4,0,2,1020,1.021,7.5,0.7,1.7,5,2.98
1976,Hankyu Braves,yamagu000tak,Takashi Yamaguchi,26,12,10,0.545,2.82,35,19,16,15,2,9,197.2,156,68,62,18,91,0,152,6,0,4,821,1.25,7.1,0.8,4.1,6.9,1.67
