Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1980,Lotte Orions,fukuma000osa,Osamu Fukuma*,18,0,0,NA,5.25,8,1,4,0,0,0,12,14,7,7,3,6,0,3,1,0,1,53,1.667,10.5,2.3,4.5,2.3,0.5
1980,Lotte Orions,kuramo000aki,Akira Kuramochi,27,0,2,0,2.14,39,0,38,0,0,18,71.1,49,17,17,6,13,2,50,0,0,0,275,0.869,6.2,0.8,1.6,6.3,3.85
1980,Lotte Orions,mizuta000nor,Norihiro Mizutani*,30,11,9,0.55,3.49,35,27,3,7,0,0,196,204,86,76,23,92,3,90,6,0,1,865,1.51,9.4,1.1,4.2,4.1,0.98
1980,Lotte Orions,mochid000tak,Takuya Mochizuki,24,0,1,0,13.5,3,1,1,0,0,0,6,10,9,9,1,3,0,1,3,0,0,34,2.167,15,1.5,4.5,1.5,0.33
1980,Lotte Orions,murata000cho,Choji Murata,30,9,9,0.5,3.89,27,22,4,11,1,2,178,169,90,77,14,83,3,135,8,0,2,772,1.416,8.5,0.7,4.2,6.8,1.63
1980,Lotte Orions,nishin000tok,Tokunari Nishina,29,17,8,0.68,3.19,29,27,1,17,5,0,208.2,193,85,74,35,49,1,94,18,0,0,853,1.16,8.3,1.5,2.1,4.1,1.92
1980,Lotte Orions,okue--000hid,Hideyuki Okue,29,13,8,0.619,5.18,28,24,1,8,0,1,170.1,170,107,98,26,102,3,85,7,0,4,767,1.597,9,1.4,5.4,4.5,0.83
1980,Lotte Orions,omata-000sus,Susumu Omata*,28,6,4,0.6,3.48,26,10,9,3,2,0,108.2,95,45,42,14,52,0,73,2,0,3,453,1.353,7.9,1.2,4.3,6,1.4
1980,Lotte Orions,tamura000isa,Isao Tamura,23,0,0,NA,16.03,6,0,2,0,0,0,10.2,20,22,19,7,11,2,10,2,2,0,63,2.906,16.9,5.9,9.3,8.4,0.91
1980,Lotte Orions,umezaw000yos,Yoshikatsu Umezawa,21,1,2,0.333,5.19,28,2,15,0,0,0,69.1,65,47,40,17,33,2,49,7,0,0,302,1.413,8.4,2.2,4.3,6.4,1.48
1980,Lotte Orions,wakaba000hit,Hitoshi Wakabayashi,23,0,0,NA,81,2,0,0,0,0,0,0.1,5,3,3,1,2,0,1,0,0,0,8,21,135,27,54,27,0.5
1980,Lotte Orions,yasuki000sho,Shoji Yasuki*,31,7,8,0.467,5.32,26,16,4,2,0,1,115,128,70,68,18,44,0,55,3,0,1,509,1.496,10,1.4,3.4,4.3,1.25
