Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1980,Seibu Lions,furusa000ken,Kenji Furusawa,32,3,6,0.333,5.74,34,4,18,0,0,5,80,82,55,51,10,45,1,78,4,0,7,362,1.588,9.2,1.1,5.1,8.8,1.73
1980,Seibu Lions,hamaur001tor,Toru Hamaura,27,0,0,NA,12,2,0,1,0,0,0,3,5,4,4,0,1,0,0,2,0,0,17,2,15,0,3,0,0
1980,Seibu Lions,higash000osa,Osamu Higashio,30,17,13,0.567,3.79,33,33,0,18,1,0,235.1,258,117,99,28,41,1,84,12,1,0,988,1.271,9.9,1.1,1.6,3.2,2.05
1980,Seibu Lions,kimura000hir,Hiroshi Kimura,26,0,0,NA,3.86,6,0,3,0,0,0,11.2,10,6,5,2,5,0,9,1,0,0,48,1.286,7.7,1.5,3.9,6.9,1.8
1980,Seibu Lions,matsun003hir,Hirohisa Matsunuma,27,9,14,0.391,3.95,33,29,3,13,0,1,202.2,188,97,89,36,58,3,139,11,0,1,852,1.214,8.3,1.6,2.6,6.2,2.4
1980,Seibu Lions,matsun000mas,Masayuki Matsunuma,23,12,7,0.632,4,33,24,6,11,1,1,175.1,171,85,78,26,48,0,123,4,0,0,733,1.249,8.8,1.3,2.5,6.3,2.56
1980,Seibu Lions,mori--002shi,Shigekazu Mori,25,10,14,0.417,4.71,40,18,18,4,1,7,156.2,160,97,82,31,53,6,73,2,1,0,676,1.36,9.2,1.8,3,4.2,1.38
1980,Seibu Lions,nagai-000tam,Tamotsu Nagai*,26,6,3,0.667,4.44,56,11,9,2,0,1,123.2,123,67,61,18,38,1,94,4,0,0,520,1.302,9,1.3,2.8,6.8,2.47
1980,Seibu Lions,nemoto000tak,Takashi Nemoto,26,0,1,0,6.59,9,1,7,0,0,0,13.2,16,11,10,5,6,0,9,0,0,0,60,1.61,10.5,3.3,4,5.9,1.5
1980,Seibu Lions,okawa-000hir,Hiroshi Okawa*,23,0,1,0,4.18,25,2,5,0,0,0,32.1,25,17,15,3,17,0,23,2,0,1,139,1.299,7,0.8,4.7,6.4,1.35
1980,Seibu Lions,saotom000yut,Yutaka Saotome,31,0,0,NA,5.54,7,0,2,0,0,0,13,20,10,8,4,6,0,6,0,0,0,61,2,13.8,2.8,4.2,4.2,1
1980,Seibu Lions,shibat000yas,Yasumitsu Shibata,22,1,3,0.25,6.54,15,6,4,0,0,0,42.2,40,34,31,9,30,1,25,3,0,0,192,1.641,8.4,1.9,6.3,5.3,0.83
1980,Seibu Lions,yamash000rit,Ritsuo Yamashita,35,4,2,0.667,4.99,22,2,6,0,0,0,52.1,66,34,29,9,9,0,24,0,0,0,229,1.433,11.4,1.5,1.5,4.1,2.67
