Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1982,Nankai Hawks,fujita000man,Manabu Fujita,27,6,8,0.429,5.23,25,16,4,1,0,0,115.1,157,74,67,18,31,0,26,2,0,0,523,1.63,12.3,1.4,2.4,2,0.84
1982,Nankai Hawks,hirasa000tak,Takayoshi Hirasawa*,28,0,0,NA,5.6,15,0,4,0,0,0,17.2,21,11,11,4,8,1,7,0,0,0,82,1.642,10.7,2,4.1,3.6,0.88
1982,Nankai Hawks,inoue-000yuj,Yuji Inoue,19,5,9,0.357,4.07,21,20,0,2,1,0,119.1,118,62,54,11,61,2,52,3,0,3,520,1.5,8.9,0.8,4.6,3.9,0.85
1982,Nankai Hawks,kanesh000mot,Motoyasu Kaneshiro,29,6,9,0.4,2.64,57,0,55,0,0,21,78.1,61,24,23,6,23,10,65,2,1,1,313,1.072,7,0.7,2.6,7.5,2.83
1982,Nankai Hawks,matsur000tad,Tadashi Matsuura,25,0,0,NA,8.31,5,0,5,0,0,0,4.1,8,4,4,0,2,1,1,1,0,0,21,2.308,16.6,0,4.2,2.1,0.5
1982,Nankai Hawks,miura-001mas,Masaki Miura,32,0,0,NA,11,5,0,3,0,0,0,9,13,11,11,3,5,1,2,0,0,0,42,2,13,3,5,2,0.4
1982,Nankai Hawks,mizuta000shi,Shigeo Mizutani,21,0,0,NA,10.24,7,0,4,0,0,0,9.2,20,13,11,2,3,0,7,1,0,0,51,2.379,18.6,1.9,2.8,6.5,2.33
1982,Nankai Hawks,morigu000mas,Masumitsu Moriguchi,28,0,2,0,4.17,21,1,8,0,0,1,58.1,51,31,27,6,18,2,35,1,0,1,239,1.183,7.9,0.9,2.8,5.4,1.94
1982,Nankai Hawks,takagi002koj,Koji Takagi*,30,1,0,1,6.75,9,0,1,0,0,0,6.2,7,5,5,0,2,0,2,0,0,0,28,1.35,9.5,0,2.7,2.7,1
1982,Nankai Hawks,takegu000aki,Akinori Takeguchi*,23,0,3,0,4.46,21,2,2,0,0,0,34.1,36,21,17,2,20,0,11,1,0,0,153,1.631,9.4,0.5,5.2,2.9,0.55
1982,Nankai Hawks,yamash000rit,Ritsuo Yamashita,37,1,2,0.333,6.39,17,1,10,0,0,0,31,44,23,22,2,5,0,13,1,0,0,138,1.581,12.8,0.6,1.5,3.8,2.6
1982,Nankai Hawks,yamauc000kaz,Kazuhiro Yamauchi,24,11,13,0.458,3.14,30,29,0,10,4,0,223.1,185,82,78,22,75,0,96,5,0,1,892,1.164,7.5,0.9,3,3.9,1.28
1982,Nankai Hawks,yamauc000shi,Shinichi Yamauchi,34,10,12,0.455,4.49,30,30,0,7,1,0,208.1,229,116,104,24,67,3,48,3,0,0,894,1.421,9.9,1,2.9,2.1,0.72
1982,Nankai Hawks,yamauc000tak,Takanori Yamauchi,25,13,12,0.52,3.04,30,30,0,14,2,0,216,212,88,73,26,25,1,79,4,0,2,879,1.097,8.8,1.1,1,3.3,3.16
1982,Nankai Hawks,yano--000min,Minoru Yano,23,0,1,0,8.59,2,1,0,0,0,0,7.1,14,10,7,0,3,0,3,1,0,0,40,2.318,17.2,0,3.7,3.7,1
