Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1984,Osaka Kintetsu Buffaloes,ishimo000yos,Yoshiaki Ishimoto*,21,0,0,NA,0,1,0,0,0,0,0,4.2,4,0,0,0,2,0,0,0,0,0,19,1.286,7.7,0,3.9,0,0
1984,Osaka Kintetsu Buffaloes,kato--000tet,Tetsuro Kato,20,0,1,0,40.5,1,1,0,0,0,0,1.1,5,6,6,1,3,0,0,0,0,0,11,6,33.8,6.8,20.3,0,0
1984,Osaka Kintetsu Buffaloes,koyama001mas,Masao Koyama,20,6,3,0.667,4.3,22,15,5,2,1,0,92,109,58,44,10,29,0,36,2,0,0,411,1.5,10.7,1,2.8,3.5,1.24
1984,Osaka Kintetsu Buffaloes,kubo--002yas,Yasuo Kubo,26,5,6,0.455,4.76,36,8,10,2,0,2,124.2,125,73,66,20,52,4,51,7,0,2,546,1.42,9,1.4,3.8,3.7,0.98
1984,Osaka Kintetsu Buffaloes,murata000tat,Tatsumi Murata*,31,4,9,0.308,4.81,36,19,3,1,0,0,110.1,106,66,59,16,46,1,31,5,1,0,473,1.378,8.6,1.3,3.8,2.5,0.67
1984,Osaka Kintetsu Buffaloes,ono---001kaz,Kazuyoshi Ono*,18,2,3,0.4,5.29,24,8,8,1,0,1,68,78,44,40,11,24,1,34,1,0,3,304,1.5,10.3,1.5,3.2,4.5,1.42
1984,Osaka Kintetsu Buffaloes,sumito000kaz,Kazuya Sumitomo,26,0,0,NA,6.93,19,0,8,0,0,2,37.2,54,30,29,9,9,0,7,2,0,0,174,1.673,12.9,2.2,2.2,1.7,0.78
1984,Osaka Kintetsu Buffaloes,suzuki000kei,Keishi Suzuki*,36,16,10,0.615,3.76,28,28,0,17,0,0,213,217,108,89,30,45,0,102,5,0,0,889,1.23,9.2,1.3,1.9,4.3,2.27
1984,Osaka Kintetsu Buffaloes,suzuki002yas,Yasujiro Suzuki,35,5,4,0.556,3.1,46,0,40,0,0,18,78.1,73,34,27,3,27,7,26,4,0,4,339,1.277,8.4,0.3,3.1,3,0.96
1984,Osaka Kintetsu Buffaloes,tachib000ken,Kenji Tachibana,30,2,1,0.667,5.63,14,3,6,0,0,0,38.1,42,29,24,4,10,0,14,6,0,0,171,1.357,9.9,0.9,2.3,3.3,1.4
1984,Osaka Kintetsu Buffaloes,tani--002hir,Hiroaki Tani,28,8,9,0.471,3.57,24,21,2,4,0,0,146.1,121,72,58,20,76,2,85,6,0,3,637,1.346,7.4,1.2,4.7,5.2,1.12
1984,Osaka Kintetsu Buffaloes,taniza000koj,Koji Tanizaki,27,0,0,NA,13.5,1,0,0,0,0,0,1.1,2,2,2,1,0,0,0,0,0,0,6,1.5,13.5,6.8,0,0,NA
1984,Osaka Kintetsu Buffaloes,yamagu002tet,Tetsuji Yamaguchi,25,0,0,NA,6.35,7,0,1,0,0,0,11.1,13,8,8,2,2,0,4,0,0,0,46,1.324,10.3,1.6,1.6,3.2,2
1984,Osaka Kintetsu Buffaloes,yamamu000tat,Tatsuya Yamamura,22,0,2,0,6.28,6,2,1,0,0,0,14.1,20,11,10,4,7,0,6,1,0,0,68,1.884,12.6,2.5,4.4,3.8,0.86
1984,Osaka Kintetsu Buffaloes,yanagi000yut,Yutaka Yanagida,32,10,9,0.526,4.06,27,25,0,9,1,0,177.1,149,86,80,31,58,4,84,6,0,0,733,1.167,7.6,1.6,2.9,4.3,1.45
1984,Osaka Kintetsu Buffaloes,yoshik002mas,Masami Yoshikawa,24,0,4,0,4.68,15,0,10,0,0,0,32.2,30,20,17,5,10,1,20,2,0,0,136,1.224,8.3,1.4,2.8,5.5,2
