Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1985,Nippon Ham Fighters,kawaha000sho,Shoji Kawahara?,31,6,0,1,3.2,34,0,28,0,0,7,64.2,47,27,23,6,25,3,47,1,0,2,269,1.113,6.5,0.8,3.5,6.5,1.88
1985,Nippon Ham Fighters,kida--000isa,Isamu Kida*,31,2,4,0.333,6.06,28,4,5,0,0,0,62.1,69,43,42,10,34,0,57,2,0,0,284,1.652,10,1.4,4.9,8.2,1.68
1985,Nippon Ham Fighters,kohno-001hir,Hirofumi Kono*,23,8,13,0.381,4.17,36,28,4,7,1,0,170.2,166,92,79,27,87,1,104,6,0,4,753,1.482,8.8,1.4,4.6,5.5,1.2
1985,Nippon Ham Fighters,mashib000shi,Shigekuni Mashiba*,33,3,1,0.75,3.54,21,4,3,1,0,0,40.2,44,19,16,5,8,0,19,1,0,0,173,1.279,9.7,1.1,1.8,4.2,2.38
1985,Nippon Ham Fighters,matsur000hir,Hiroaki Matsuura,19,0,0,NA,11.57,8,1,5,0,0,0,11.2,15,16,15,4,13,0,8,1,0,2,61,2.4,11.6,3.1,10,6.2,0.62
1985,Nippon Ham Fighters,misawa000jun,Jun Misawa,32,1,0,1,2.06,15,0,5,0,0,0,35,26,9,8,2,12,1,12,1,0,0,139,1.086,6.7,0.5,3.1,3.1,1
1985,Nippon Ham Fighters,nishim000mot,Motofumi Nishimura*,22,0,0,NA,4.8,9,1,3,0,0,0,15,18,8,8,3,11,1,7,2,0,2,73,1.933,10.8,1.8,6.6,4.2,0.64
1985,Nippon Ham Fighters,okabe-000nor,Noriaki Okabe,27,0,3,0,4.87,25,3,7,0,0,0,57.1,53,33,31,10,27,2,37,0,1,3,247,1.395,8.3,1.6,4.2,5.8,1.37
1985,Nippon Ham Fighters,sakama000aki,Akira Sakamaki,30,1,3,0.25,6.26,10,5,4,1,0,2,27.1,33,21,19,5,14,0,9,2,0,1,131,1.72,10.9,1.6,4.6,3,0.64
1985,Nippon Ham Fighters,sato--000sei,Seiichi Sato,24,0,1,0,5.26,14,0,7,0,0,0,25.2,19,16,15,4,12,0,22,3,0,3,106,1.208,6.7,1.4,4.2,7.7,1.83
1985,Nippon Ham Fighters,shibat000yas,Yasumitsu Shibata,27,11,13,0.458,3.28,36,24,4,13,3,1,194.2,168,77,71,25,57,0,160,6,1,0,792,1.156,7.8,1.2,2.6,7.4,2.81
1985,Nippon Ham Fighters,takaha002koi,Koichi Takahashi,20,0,0,NA,4.5,2,0,2,0,0,0,2,2,1,1,0,1,0,2,0,0,0,8,1.5,9,0,4.5,9,2
1985,Nippon Ham Fighters,takaha001mas,Masami Takahashi,30,0,0,NA,8.1,3,0,1,0,0,0,3.1,4,3,3,2,1,0,0,0,0,0,14,1.5,10.8,5.4,2.7,0,0
1985,Nippon Ham Fighters,tanaka000man,Manabu Tanaka,23,0,0,NA,6.75,2,0,1,0,0,0,2.2,4,2,2,1,1,0,0,0,0,0,12,1.875,13.5,3.4,3.4,0,0
1985,Nippon Ham Fighters,tanaka000tom,Tomio Tanaka,25,8,11,0.421,5.16,28,22,3,3,0,0,132.2,140,89,76,19,48,0,61,1,0,0,567,1.417,9.5,1.3,3.3,4.1,1.27
1985,Nippon Ham Fighters,tanaka003yuk,Yukio Tanaka,26,6,6,0.5,4.42,47,8,14,1,1,0,138.1,121,77,68,18,76,0,101,5,0,1,597,1.424,7.9,1.2,4.9,6.6,1.33
1985,Nippon Ham Fighters,tsuno-000hir,Hiroshi Tsuno,19,7,10,0.412,4.42,31,30,1,7,1,0,165,169,94,81,24,99,1,84,13,1,7,762,1.624,9.2,1.3,5.4,4.6,0.85
