Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1991,Hiroshima Toyo Carp,adachi001wat,Wataru Adachi,23,3,7,0.3,3.79,26,14,5,0,0,1,90.1,72,43,38,10,52,1,82,4,0,1,382,1.373,7.2,1,5.2,8.2,1.58
1991,Hiroshima Toyo Carp,akimur000nor,Norihiro Akimura,25,1,2,0.333,5.29,10,1,3,0,0,0,17,14,10,10,5,7,0,21,0,0,0,72,1.235,7.4,2.6,3.7,11.1,3
1991,Hiroshima Toyo Carp,ishinu000hir,Hiromi Ishinuki*,22,5,1,0.833,1.98,46,1,9,0,0,1,50,30,13,11,3,30,3,37,2,0,6,203,1.2,5.4,0.5,5.4,6.7,1.23
1991,Hiroshima Toyo Carp,kaneis000aki,Akihito Kaneishi,30,4,7,0.364,3.29,31,10,11,0,0,2,90.1,83,36,33,9,26,3,53,3,0,2,375,1.207,8.3,0.9,2.6,5.3,2.04
1991,Hiroshima Toyo Carp,katase000kiy,Kiyotoshi Katase,27,0,1,0,1.76,7,1,3,0,0,0,15.1,16,3,3,2,5,0,13,1,0,0,63,1.37,9.4,1.2,2.9,7.6,2.6
1991,Hiroshima Toyo Carp,kawaba000jun,Jun Kawabata,31,5,1,0.833,2.36,28,0,13,0,0,1,42,35,11,11,5,9,1,29,2,0,0,167,1.048,7.5,1.1,1.9,6.2,3.22
1991,Hiroshima Toyo Carp,kawagu000kaz,Kazuhisa Kawaguchi*,31,12,8,0.6,2.9,29,29,0,8,2,0,205,169,70,66,16,82,4,230,3,0,10,840,1.224,7.4,0.7,3.6,10.1,2.8
1991,Hiroshima Toyo Carp,kawash000ken,Ken Kawashima,21,0,1,0,13.5,1,1,0,0,0,0,4.2,8,7,7,2,1,0,2,0,0,0,22,1.929,15.4,3.9,1.9,3.9,2
1991,Hiroshima Toyo Carp,kitabe000man,Manabu Kitabeppu,33,11,4,0.733,3.38,25,24,0,3,1,0,141.1,149,56,53,20,31,2,73,2,0,0,582,1.274,9.5,1.3,2,4.6,2.35
1991,Hiroshima Toyo Carp,kitoh-001mak,Makoto Kito,26,3,3,0.5,4.44,36,2,9,0,0,0,75,79,39,37,8,24,5,59,4,0,1,321,1.373,9.5,1,2.9,7.1,2.46
1991,Hiroshima Toyo Carp,kiyoka000eij,Eiji Kiyokawa*,29,0,0,NA,13.5,4,0,0,0,0,0,0.2,1,1,1,0,2,0,0,0,0,0,6,4.5,13.5,0,27,0,0
1991,Hiroshima Toyo Carp,kondo-000yos,Yoshihisa Kondo,25,2,3,0.4,3.14,29,0,13,0,0,3,48.2,38,18,17,5,24,2,35,1,0,1,199,1.274,7,0.9,4.4,6.5,1.46
1991,Hiroshima Toyo Carp,nagado001hir,Hiroshi Nagatomi,30,5,6,0.455,4.82,24,18,2,5,0,0,104.2,116,67,56,13,51,4,76,5,0,6,477,1.596,10,1.1,4.4,6.5,1.49
1991,Hiroshima Toyo Carp,nishi-000kiy,Kiyotaka Nishi,25,0,0,NA,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,9,0,0
1991,Hiroshima Toyo Carp,ono---000yut,Yutaka Ono*,35,6,2,0.75,1.17,37,0,34,0,0,26,46.1,28,11,6,2,17,4,58,1,0,3,181,0.971,5.4,0.4,3.3,11.3,3.41
1991,Hiroshima Toyo Carp,sasaok001shi,Shinji Sasaoka,23,17,9,0.654,2.44,33,31,0,13,5,0,240,186,69,65,20,69,2,213,8,0,4,962,1.063,7,0.8,2.6,8,3.09
1991,Hiroshima Toyo Carp,takaya001iku,Ikuo Takayama,28,0,0,NA,4.91,9,0,1,0,0,0,11,18,6,6,2,2,0,9,0,0,0,51,1.818,14.7,1.6,1.6,7.4,4.5
1991,Hiroshima Toyo Carp,tsuda-000tsu,Tsunemi Tsuda,30,0,1,0,27,2,0,0,0,0,0,1,4,3,3,1,0,0,1,1,0,1,8,4,36,9,0,9,NA
1991,Hiroshima Toyo Carp,une---000tat,Tatsumi Une*,27,0,0,NA,20.25,1,0,0,0,0,0,1.1,1,3,3,1,2,0,1,0,0,0,7,2.25,6.8,6.8,13.5,6.8,0.5
