Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1999,Orix Blue Wave,banks-001wil,Willie Banks,30,3,3,0.5,3.94,13,2,6,0,0,1,29.2,27,16,13,3,21,1,26,0,0,3,135,1.618,8.2,0.9,6.4,7.9,1.24
1999,Orix Blue Wave,ebisu-001nob,Nobuyuki Ebisu,27,0,0,NA,3.86,10,0,5,0,0,0,16.1,25,13,7,0,7,0,11,2,0,1,84,1.959,13.8,0,3.9,6.1,1.57
1999,Orix Blue Wave,hirai-001mas,Masafumi Hirai,24,0,1,0,8.4,5,2,3,0,0,0,15,25,18,14,3,13,0,7,0,0,1,81,2.533,15,1.8,7.8,4.2,0.54
1999,Orix Blue Wave,hoshin001nob,Nobuyuki Hoshino*,33,11,7,0.611,3.85,26,26,0,4,1,0,156.2,151,77,67,16,62,1,96,1,0,4,669,1.36,8.7,0.9,3.6,5.5,1.55
1999,Orix Blue Wave,hurtad002edw,Edwin Hurtado,29,4,2,0.667,2.29,34,0,15,0,0,4,63,53,20,16,2,39,2,44,1,2,2,273,1.46,7.6,0.3,5.6,6.3,1.13
1999,Orix Blue Wave,itoh--002tak,Takahide Ito,35,0,0,NA,5.79,4,0,3,0,0,0,4.2,6,3,3,0,2,0,3,1,0,0,21,1.714,11.6,0,3.9,5.8,1.5
1999,Orix Blue Wave,kaneda001mas,Masahiko Kaneda*,30,11,10,0.524,3.49,30,29,1,4,1,0,188,165,84,73,13,76,0,116,7,0,5,800,1.282,7.9,0.6,3.6,5.6,1.53
1999,Orix Blue Wave,kato--000shi,Shinichi Kato,33,6,5,0.545,3.47,19,17,2,4,3,1,98.2,99,40,38,8,20,0,44,3,2,1,402,1.206,9,0.7,1.8,4,2.2
1999,Orix Blue Wave,kawago001hid,Hidetaka Kawagoe,26,11,8,0.579,2.85,26,25,0,8,2,0,177,159,75,56,14,47,2,134,1,0,2,730,1.164,8.1,0.7,2.4,6.8,2.85
1999,Orix Blue Wave,kawagu001tom,Tomoya Kawaguchi?,19,0,0,NA,27,1,0,0,0,0,0,0.1,0,1,1,0,1,0,0,0,0,0,2,3,0,0,27,0,0
1999,Orix Blue Wave,kimura001mas,Masahiro Kimura,24,0,0,NA,2.79,6,1,2,0,0,0,9.2,6,5,3,1,7,0,6,0,0,0,41,1.345,5.6,0.9,6.5,5.6,0.86
1999,Orix Blue Wave,kobaya002hir,Hiroshi Kobayashi,28,3,2,0.6,4.55,6,6,0,1,0,0,29.2,32,20,15,1,15,0,16,1,0,3,135,1.584,9.7,0.3,4.6,4.9,1.07
1999,Orix Blue Wave,kuriya001sat,Satoshi Kuriyama,25,0,1,0,10.5,3,2,1,0,0,0,6,11,7,7,2,7,0,1,0,0,1,36,3,16.5,3,10.5,1.5,0.14
1999,Orix Blue Wave,maeda-001hir,Hirotsugu Maeda*,23,0,0,NA,27,1,0,0,0,0,0,0.2,4,2,2,0,0,0,1,0,0,0,6,6,54,0,0,13.5,NA
1999,Orix Blue Wave,makino001rui,Rui Makino,24,1,1,0.5,3.54,17,1,7,0,0,0,20.1,22,12,8,4,7,0,23,1,0,1,88,1.426,9.7,1.8,3.1,10.2,3.29
1999,Orix Blue Wave,mimbs-001mar,Mark Mimbs*,30,3,6,0.333,3.42,42,10,1,0,0,1,76.1,77,34,29,11,27,0,43,2,1,1,325,1.362,9.1,1.3,3.2,5.1,1.59
1999,Orix Blue Wave,mizuo-001yos,Yoshitaka Mizuo*,31,0,0,NA,3,30,0,0,0,0,0,12,14,4,4,2,9,2,9,1,1,1,58,1.917,10.5,1.5,6.8,6.8,1
1999,Orix Blue Wave,noda--001koj,Koji Noda,31,0,0,NA,18,2,0,1,0,0,0,1,2,2,2,1,0,0,1,0,0,0,5,2,18,9,0,9,NA
1999,Orix Blue Wave,ogura-001his,Hisashi Ogura,28,5,2,0.714,2.17,48,2,24,0,0,11,103.2,86,25,25,5,25,3,84,3,0,1,411,1.071,7.5,0.4,2.2,7.3,3.36
1999,Orix Blue Wave,ota---000ats,Atsushi Ota?,21,0,0,NA,3.86,2,0,1,0,0,0,2.1,2,1,1,0,4,0,1,0,0,0,12,2.571,7.7,0,15.4,3.9,0.25
1999,Orix Blue Wave,sugimo001kiy,Kiyohiko Sugimoto?,24,0,0,NA,0,3,0,1,0,0,0,1.1,2,0,0,0,3,0,1,0,0,0,9,3.75,13.5,0,20.3,6.8,0.33
1999,Orix Blue Wave,sugimo001yu-,Yu Sugimoto,26,2,2,0.5,5.4,10,4,3,0,0,0,21.2,23,13,13,1,17,0,15,0,0,0,98,1.846,9.6,0.4,7.1,6.2,0.88
1999,Orix Blue Wave,suzuki001tai,Taira Suzuki,29,5,4,0.556,3.98,42,0,18,0,0,3,54.1,40,32,24,5,37,3,37,7,0,1,242,1.417,6.6,0.8,6.1,6.1,1
1999,Orix Blue Wave,takaha001koi,Koichi Takahashi,27,3,6,0.333,5.03,35,8,8,0,0,0,68,69,40,38,9,40,2,40,2,1,1,307,1.603,9.1,1.2,5.3,5.3,1
1999,Orix Blue Wave,tokumo001sat,Satoshi Tokumoto,22,0,5,0,5.92,35,0,12,0,0,1,48.2,43,33,32,7,24,4,23,5,0,0,216,1.377,8,1.3,4.4,4.3,0.96
